#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  22.818              48.521             -25.704
rxn_53                  30.038              52.306             -22.269
rxn_83                  18.348              40.595             -22.247
rxn_216                 22.225              41.157             -18.931
rxn_310                 20.471              47.744             -27.274
rxn_365                 33.161              57.047             -23.886
rxn_632                 23.708              49.572             -25.864
rxn_721                 22.033              53.001             -30.967
rxn_745                 27.428              23.153               4.275
rxn_769                 31.482              23.573               7.909
rxn_853                 29.692              25.980               3.712
rxn_1000                40.814              29.725              11.089
rxn_1011                42.644              28.775              13.869
rxn_1017                36.593              28.725               7.868
rxn_1093                33.036              27.811               5.224
rxn_1248                33.171              26.614               6.557
rxn_1424                31.210              27.793               3.417
rxn_1441                35.414              30.350               5.064
rxn_1463                18.294              52.591             -34.297
rxn_1466                14.214              52.292             -38.078
rxn_1469                17.380              54.352             -36.972
rxn_1479                28.635              55.999             -27.364
rxn_1480                22.880              50.695             -27.816
rxn_1495                19.111              55.142             -36.031
rxn_1536                17.030              41.230             -24.199
rxn_1606                20.418              45.792             -25.374
rxn_1708                20.163              43.059             -22.896
rxn_1779                18.645              41.279             -22.635
rxn_1886                24.739              48.315             -23.576
rxn_2260                19.280              51.573             -32.293
rxn_2270                19.819              49.233             -29.414
rxn_2310                22.793              48.385             -25.592
rxn_2326                28.675              51.026             -22.351
rxn_2334                20.627              51.060             -30.433
rxn_2468                28.401              48.780             -20.380
rxn_2482                20.066              49.985             -29.920
rxn_2517                26.565              49.388             -22.823
rxn_2530                22.054              50.652             -28.599
rxn_2672                19.474              51.321             -31.847
rxn_2720                16.686              49.979             -33.293
rxn_2759                22.547              51.354             -28.807
rxn_2760                17.406              50.824             -33.418
rxn_2972                32.565              41.456              -8.891
rxn_3030                18.502              39.497             -20.996
rxn_3225                19.906              42.238             -22.331
rxn_3483                28.419              37.609              -9.190
rxn_3536                25.810              36.870             -11.060
rxn_3759                -5.630              22.690             -28.320
rxn_3781                -1.806              26.262             -28.067
rxn_4123                 5.717              33.970             -28.253
rxn_4581                31.009              37.944              -6.936
rxn_4652                 1.522              31.887             -30.365
rxn_4937                14.662              25.300             -10.638
rxn_5047                 7.526              34.524             -26.998
rxn_5129                 6.828              31.292             -24.464
rxn_5245                32.028              35.730              -3.702
rxn_5345                32.908              38.575              -5.667
rxn_5374                31.218              37.808              -6.590
rxn_5506                30.838              36.732              -5.895
rxn_5581                30.430              43.319             -12.890
rxn_5582                22.723              29.000              -6.277
rxn_5616                27.855              32.888              -5.033
rxn_5653                28.384              36.946              -8.562
rxn_5748                23.897              45.134             -21.237
rxn_5756                30.110              44.132             -14.022
rxn_5854                28.856              38.038              -9.182
rxn_5956                36.019              53.793             -17.774
rxn_6105                35.979              41.938              -5.959
rxn_6178                35.895              52.647             -16.752
rxn_6180                26.435              32.136              -5.701
