#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   9.526              43.975             -34.449
rxn_53                  18.058              48.035             -29.977
rxn_83                   6.337              36.761             -30.423
rxn_216                  9.901              35.360             -25.459
rxn_310                  9.905              44.055             -34.150
rxn_365                 24.812              53.882             -29.070
rxn_632                  9.235              44.430             -35.195
rxn_721                 15.009              48.934             -33.926
rxn_745                 22.004              21.387               0.617
rxn_769                 22.238              21.514               0.724
rxn_853                 23.842              24.386              -0.544
rxn_1000                32.089              29.418               2.671
rxn_1011                31.917              28.025               3.891
rxn_1017                26.293              27.935              -1.642
rxn_1093                23.240              27.257              -4.018
rxn_1248                24.563              25.591              -1.028
rxn_1424                22.655              27.087              -4.431
rxn_1441                26.887              29.626              -2.739
rxn_1463                 7.817              52.759             -44.941
rxn_1466                 4.219              52.753             -48.534
rxn_1469                 5.559              53.830             -48.270
rxn_1479                15.023              58.383             -43.360
rxn_1480                 8.021              50.356             -42.335
rxn_1495                 5.376              55.018             -49.641
rxn_1536                10.064              36.534             -26.470
rxn_1606                13.258              40.739             -27.480
rxn_1708                11.980              38.156             -26.177
rxn_1779                11.385              36.406             -25.021
rxn_1886                16.833              45.083             -28.250
rxn_2260                 7.599              48.860             -41.261
rxn_2270                 7.320              45.136             -37.815
rxn_2310                11.689              45.328             -33.639
rxn_2326                18.241              48.408             -30.167
rxn_2334                10.865              47.742             -36.877
rxn_2468                17.942              46.091             -28.149
rxn_2482                10.421              46.827             -36.406
rxn_2517                14.903              45.939             -31.036
rxn_2530                11.595              48.346             -36.751
rxn_2672                 8.335              47.659             -39.324
rxn_2720                 4.327              46.717             -42.390
rxn_2759                 8.072              47.481             -39.409
rxn_2760                 5.549              47.232             -41.683
rxn_2972                22.948              40.664             -17.716
rxn_3030                10.490              37.469             -26.979
rxn_3225                11.564              39.482             -27.918
rxn_3483                19.518              35.861             -16.343
rxn_3536                20.339              36.375             -16.036
rxn_3759                -8.063              21.259             -29.322
rxn_3781                -3.702              24.471             -28.173
rxn_4123                 4.577              31.537             -26.960
rxn_4581                15.279              34.125             -18.847
rxn_4652                -8.869              28.471             -37.339
rxn_4937                 4.399              23.427             -19.028
rxn_5047                -1.461              31.451             -32.912
rxn_5129                -3.564              28.270             -31.835
rxn_5245                26.000              33.566              -7.566
rxn_5345                29.130              38.425              -9.295
rxn_5374                27.494              35.252              -7.758
rxn_5506                25.745              35.930             -10.185
rxn_5581                23.022              37.863             -14.841
rxn_5582                15.189              24.356              -9.167
rxn_5616                20.526              30.429              -9.903
rxn_5653                22.157              32.944             -10.787
rxn_5748                17.373              39.325             -21.952
rxn_5756                23.185              40.268             -17.083
rxn_5854                21.996              33.501             -11.505
rxn_5956                30.430              49.914             -19.484
rxn_6105                27.773              38.626             -10.853
rxn_6178                29.112              46.736             -17.624
rxn_6180                18.408              28.846             -10.438
