#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  15.894              55.638             -39.744
rxn_53                  25.115              60.042             -34.927
rxn_83                  14.322              49.607             -35.285
rxn_216                 17.137              47.538             -30.400
rxn_310                 15.996              55.206             -39.210
rxn_365                 31.855              64.729             -32.874
rxn_632                 17.219              56.386             -39.167
rxn_721                 20.873              59.636             -38.764
rxn_745                 26.993              30.026              -3.033
rxn_769                 28.937              31.687              -2.750
rxn_853                 28.929              32.960              -4.031
rxn_1000                37.956              37.784               0.172
rxn_1011                38.490              36.013               2.477
rxn_1017                32.553              36.581              -4.029
rxn_1093                28.872              35.574              -6.701
rxn_1248                29.768              34.055              -4.288
rxn_1424                28.322              35.486              -7.165
rxn_1441                33.145              38.381              -5.236
rxn_1463                17.490              57.184             -39.694
rxn_1466                13.956              55.607             -41.651
rxn_1469                13.667              55.875             -42.208
rxn_1479                22.998              58.846             -35.848
rxn_1480                16.245              52.032             -35.787
rxn_1495                13.355              56.496             -43.141
rxn_1536                16.871              46.633             -29.762
rxn_1606                19.516              50.275             -30.759
rxn_1708                19.864              49.128             -29.263
rxn_1779                18.578              47.166             -28.588
rxn_1886                23.810              54.260             -30.451
rxn_2260                14.030              57.012             -42.981
rxn_2270                13.518              52.944             -39.426
rxn_2310                20.181              54.149             -33.968
rxn_2326                25.318              55.459             -30.141
rxn_2334                17.748              56.034             -38.286
rxn_2468                25.649              53.052             -27.403
rxn_2482                16.710              54.239             -37.529
rxn_2517                22.779              53.850             -31.071
rxn_2530                18.286              55.984             -37.698
rxn_2672                14.897              55.423             -40.525
rxn_2720                10.280              53.535             -43.255
rxn_2759                14.921              55.404             -40.483
rxn_2760                11.867              54.371             -42.505
rxn_2972                28.147              50.716             -22.569
rxn_3030                15.941              51.015             -35.074
rxn_3225                15.902              51.186             -35.284
rxn_3483                22.994              46.285             -23.291
rxn_3536                22.214              47.910             -25.696
rxn_3759               -10.093              28.132             -38.225
rxn_3781                -4.501              32.431             -36.932
rxn_4123                 3.597              40.459             -36.863
rxn_4581                24.236              47.310             -23.074
rxn_4652                -3.135              40.568             -43.703
rxn_4937                 9.720              34.778             -25.058
rxn_5047                 5.087              43.578             -38.491
rxn_5129                 1.194              41.486             -40.292
rxn_5245                36.854              40.773              -3.919
rxn_5345                39.184              45.336              -6.152
rxn_5374                37.034              43.724              -6.690
rxn_5506                36.019              42.373              -6.354
rxn_5581                34.778              49.512             -14.734
rxn_5582                27.144              35.649              -8.505
rxn_5616                30.355              40.701             -10.346
rxn_5653                32.765              44.177             -11.412
rxn_5748                28.568              52.191             -23.622
rxn_5756                33.765              51.565             -17.800
rxn_5854                32.246              45.056             -12.810
rxn_5956                42.042              62.261             -20.219
rxn_6105                39.303              49.553             -10.250
rxn_6178                41.701              59.959             -18.257
rxn_6180                28.992              39.506             -10.513
