#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  31.584              57.864             -26.280
rxn_53                  39.940              61.926             -21.987
rxn_83                  28.845              51.776             -22.931
rxn_216                 31.698              52.942             -21.244
rxn_310                 29.474              57.188             -27.713
rxn_365                 44.525              65.485             -20.960
rxn_632                 33.201              59.485             -26.284
rxn_721                 32.012              61.331             -29.319
rxn_745                 35.965              30.644               5.321
rxn_769                 40.133              32.096               8.037
rxn_853                 37.884              33.333               4.551
rxn_1000                48.953              37.575              11.378
rxn_1011                51.757              35.939              15.818
rxn_1017                44.618              36.561               8.056
rxn_1093                41.127              35.198               5.929
rxn_1248                41.369              34.071               7.298
rxn_1424                39.560              35.236               4.324
rxn_1441                43.502              38.358               5.144
rxn_1463                29.272              57.205             -27.933
rxn_1466                25.704              55.594             -29.890
rxn_1469                27.656              56.629             -28.974
rxn_1479                38.599              57.316             -18.718
rxn_1480                33.184              53.013             -19.829
rxn_1495                28.771              57.113             -28.343
rxn_1536                27.245              48.328             -21.083
rxn_1606                29.808              52.265             -22.457
rxn_1708                30.617              50.507             -19.890
rxn_1779                28.880              48.567             -19.686
rxn_1886                35.134              55.387             -20.253
rxn_2260                27.678              57.335             -29.657
rxn_2270                27.982              54.591             -26.609
rxn_2310                32.261              53.131             -20.870
rxn_2326                38.576              55.693             -17.117
rxn_2334                29.581              56.927             -27.345
rxn_2468                38.476              53.402             -14.925
rxn_2482                28.583              55.247             -26.664
rxn_2517                36.087              53.885             -17.798
rxn_2530                30.856              56.184             -25.328
rxn_2672                28.031              56.666             -28.636
rxn_2720                25.053              54.837             -29.785
rxn_2759                30.647              56.679             -26.032
rxn_2760                26.012              55.823             -29.811
rxn_2972                40.173              51.877             -11.704
rxn_3030                25.613              51.404             -25.791
rxn_3225                26.542              53.256             -26.714
rxn_3483                35.406              48.624             -13.218
rxn_3536                31.563              48.485             -16.921
rxn_3759                -5.243              28.334             -33.577
rxn_3781                -0.283              32.563             -32.846
rxn_4123                 6.919              41.070             -34.151
rxn_4581                39.645              45.655              -6.010
rxn_4652                 8.426              39.830             -31.404
rxn_4937                23.404              33.380              -9.976
rxn_5047                15.542              43.116             -27.574
rxn_5129                13.483              40.323             -26.840
rxn_5245                42.145              43.321              -1.176
rxn_5345                42.930              46.576              -3.645
rxn_5374                40.908              46.401              -5.493
rxn_5506                40.859              44.126              -3.267
rxn_5581                40.056              52.912             -12.856
rxn_5582                30.676              36.243              -5.567
rxn_5616                35.396              40.574              -5.179
rxn_5653                36.712              45.653              -8.940
rxn_5748                32.887              54.936             -22.049
rxn_5756                38.334              53.802             -15.467
rxn_5854                37.080              47.293             -10.214
rxn_5956                45.148              63.915             -18.767
rxn_6105                44.958              50.594              -5.636
rxn_6178                45.670              63.185             -17.515
rxn_6180                34.619              40.713              -6.094
