,Name,BLYP-D3BJ-DFT-forward,BLYP-D3BJ-DFT-reverse,BLYP-D3BJ-DFT-reaction
0,rxn_33,6.433,31.339,-24.906
1,rxn_53,14.729,36.025,-21.296
2,rxn_83,3.737,25.106,-21.369
3,rxn_216,8.519,22.974,-14.454
4,rxn_310,6.997,30.677,-23.68
5,rxn_365,19.5,40.427,-20.927
6,rxn_632,7.309,32.657,-25.348
7,rxn_721,10.607,36.028,-25.421
8,rxn_745,21.393,12.449,8.944
9,rxn_769,22.247,13.021,9.226
10,rxn_853,23.888,15.985,7.903
11,rxn_1000,31.568,20.177,11.391
12,rxn_1011,31.67,18.964,12.707
13,rxn_1017,26.739,19.084,7.655
14,rxn_1093,23.758,18.066,5.692
15,rxn_1248,24.398,16.642,7.755
16,rxn_1424,23.607,17.935,5.672
17,rxn_1441,26.937,20.366,6.571
18,rxn_1463,6.065,44.461,-38.396
19,rxn_1466,2.035,43.996,-41.961
20,rxn_1469,1.182,43.908,-42.726
21,rxn_1479,10.207,47.734,-37.526
22,rxn_1480,3.617,40.549,-36.932
23,rxn_1495,1.391,44.606,-43.215
24,rxn_1536,7.091,25.453,-18.362
25,rxn_1606,10.614,29.537,-18.923
26,rxn_1708,9.421,27.212,-17.79
27,rxn_1779,8.981,25.784,-16.803
28,rxn_1886,13.705,33.002,-19.297
29,rxn_2260,5.684,38.563,-32.879
30,rxn_2270,6.207,35.557,-29.35
31,rxn_2310,9.808,36.479,-26.671
32,rxn_2326,15.332,38.399,-23.067
33,rxn_2334,9.23,37.143,-27.912
34,rxn_2468,15.463,36.0,-20.537
35,rxn_2482,9.081,36.738,-27.656
36,rxn_2517,12.803,36.872,-24.069
37,rxn_2530,9.805,37.927,-28.122
38,rxn_2672,6.762,37.666,-30.904
39,rxn_2720,2.245,37.027,-34.782
40,rxn_2759,6.6,37.373,-30.773
41,rxn_2760,3.679,37.366,-33.688
42,rxn_2972,20.144,26.253,-6.109
43,rxn_3030,9.75,25.583,-15.833
44,rxn_3225,9.396,26.521,-17.126
45,rxn_3483,16.821,22.261,-5.44
46,rxn_3536,17.53,22.396,-4.866
47,rxn_3759,-4.69,13.286,-17.975
48,rxn_3781,-2.192,14.743,-16.935
49,rxn_4123,6.478,21.704,-15.226
50,rxn_4581,13.858,25.116,-11.258
51,rxn_4652,-8.819,20.432,-29.251
52,rxn_4937,2.007,14.554,-12.546
53,rxn_5047,-2.769,22.494,-25.263
54,rxn_5129,-4.706,19.196,-23.902
55,rxn_5245,17.299,25.771,-8.472
56,rxn_5345,21.086,31.154,-10.068
57,rxn_5374,19.361,27.99,-8.628
58,rxn_5506,17.488,28.028,-10.54
59,rxn_5581,15.532,29.858,-14.326
60,rxn_5582,9.024,17.946,-8.922
61,rxn_5616,13.024,23.016,-9.992
62,rxn_5653,15.192,25.123,-9.932
63,rxn_5748,9.704,31.517,-21.813
64,rxn_5756,15.885,31.698,-15.813
65,rxn_5854,14.288,25.509,-11.221
66,rxn_5956,22.437,41.484,-19.047
67,rxn_6105,20.155,30.52,-10.365
68,rxn_6178,20.826,36.97,-16.144
69,rxn_6180,11.759,21.25,-9.491
