#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   6.433              31.339             -24.906
rxn_53                  14.729              36.025             -21.296
rxn_83                   3.737              25.106             -21.369
rxn_216                  8.519              22.974             -14.454
rxn_310                  6.997              30.677             -23.680
rxn_365                 19.500              40.427             -20.927
rxn_632                  7.309              32.657             -25.348
rxn_721                 10.607              36.028             -25.421
rxn_745                 21.393              12.449               8.944
rxn_769                 22.247              13.021               9.226
rxn_853                 23.888              15.985               7.903
rxn_1000                31.568              20.177              11.391
rxn_1011                31.670              18.964              12.707
rxn_1017                26.739              19.084               7.655
rxn_1093                23.758              18.066               5.692
rxn_1248                24.398              16.642               7.755
rxn_1424                23.607              17.935               5.672
rxn_1441                26.937              20.366               6.571
rxn_1463                 6.065              44.461             -38.396
rxn_1466                 2.035              43.996             -41.961
rxn_1469                 1.182              43.908             -42.726
rxn_1479                10.207              47.734             -37.526
rxn_1480                 3.617              40.549             -36.932
rxn_1495                 1.391              44.606             -43.215
rxn_1536                 7.091              25.453             -18.362
rxn_1606                10.614              29.537             -18.923
rxn_1708                 9.421              27.212             -17.790
rxn_1779                 8.981              25.784             -16.803
rxn_1886                13.705              33.002             -19.297
rxn_2260                 5.684              38.563             -32.879
rxn_2270                 6.207              35.557             -29.350
rxn_2310                 9.808              36.479             -26.671
rxn_2326                15.332              38.399             -23.067
rxn_2334                 9.230              37.143             -27.912
rxn_2468                15.463              36.000             -20.537
rxn_2482                 9.081              36.738             -27.656
rxn_2517                12.803              36.872             -24.069
rxn_2530                 9.805              37.927             -28.122
rxn_2672                 6.762              37.666             -30.904
rxn_2720                 2.245              37.027             -34.782
rxn_2759                 6.600              37.373             -30.773
rxn_2760                 3.679              37.366             -33.688
rxn_2972                20.144              26.253              -6.109
rxn_3030                 9.750              25.583             -15.833
rxn_3225                 9.396              26.521             -17.126
rxn_3483                16.821              22.261              -5.440
rxn_3536                17.530              22.396              -4.866
rxn_3759                -4.690              13.286             -17.975
rxn_3781                -2.192              14.743             -16.935
rxn_4123                 6.478              21.704             -15.226
rxn_4581                13.858              25.116             -11.258
rxn_4652                -8.819              20.432             -29.251
rxn_4937                 2.007              14.554             -12.546
rxn_5047                -2.769              22.494             -25.263
rxn_5129                -4.706              19.196             -23.902
rxn_5245                17.299              25.771              -8.472
rxn_5345                21.086              31.154             -10.068
rxn_5374                19.361              27.990              -8.628
rxn_5506                17.488              28.028             -10.540
rxn_5581                15.532              29.858             -14.326
rxn_5582                 9.024              17.946              -8.922
rxn_5616                13.024              23.016              -9.992
rxn_5653                15.192              25.123              -9.932
rxn_5748                 9.704              31.517             -21.813
rxn_5756                15.885              31.698             -15.813
rxn_5854                14.288              25.509             -11.221
rxn_5956                22.437              41.484             -19.047
rxn_6105                20.155              30.520             -10.365
rxn_6178                20.826              36.970             -16.144
rxn_6180                11.759              21.250              -9.491
