#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  30.678              34.811              -4.133
rxn_53                  37.706              38.983              -1.276
rxn_83                  26.285              28.560              -2.274
rxn_216                 31.028              31.273              -0.245
rxn_310                 27.887              33.731              -5.844
rxn_365                 39.129              41.534              -2.405
rxn_632                 32.043              37.468              -5.425
rxn_721                 27.966              38.697             -10.731
rxn_745                 35.384              13.402              21.981
rxn_769                 39.691              13.666              26.025
rxn_853                 37.818              16.562              21.256
rxn_1000                48.627              19.783              28.844
rxn_1011                52.242              18.785              33.457
rxn_1017                45.447              19.027              26.420
rxn_1093                42.755              17.418              25.337
rxn_1248                42.409              16.627              25.782
rxn_1424                41.060              17.482              23.578
rxn_1441                43.015              20.276              22.739
rxn_1463                24.287              44.701             -20.414
rxn_1466                20.178              44.161             -23.983
rxn_1469                22.683              45.207             -22.523
rxn_1479                34.055              45.456             -11.401
rxn_1480                29.484              42.229             -12.745
rxn_1495                25.013              45.733             -20.720
rxn_1536                23.257              28.118              -4.862
rxn_1606                26.671              32.706              -6.035
rxn_1708                26.098              29.389              -3.291
rxn_1779                24.972              27.975              -3.002
rxn_1886                31.323              34.807              -3.484
rxn_2260                26.777              39.002             -12.225
rxn_2270                28.738              38.137              -9.399
rxn_2310                28.613              34.830              -6.217
rxn_2326                36.026              38.702              -2.675
rxn_2334                27.714              38.523             -10.808
rxn_2468                35.523              36.496              -0.973
rxn_2482                27.641              38.315             -10.674
rxn_2517                33.475              36.862              -3.387
rxn_2530                29.357              38.226              -8.869
rxn_2672                27.218              39.617             -12.399
rxn_2720                25.127              39.069             -13.942
rxn_2759                31.003              39.382              -8.379
rxn_2760                25.574              39.626             -14.052
rxn_2972                38.732              28.043              10.690
rxn_3030                24.720              26.300              -1.579
rxn_3225                25.828              29.778              -3.949
rxn_3483                35.920              25.946               9.975
rxn_3536                32.010              23.313               8.696
rxn_3759                 2.787              13.634             -10.847
rxn_3781                 4.413              14.951             -10.538
rxn_4123                11.683              22.632             -10.949
rxn_4581                37.536              22.437              15.099
rxn_4652                 8.849              19.252             -10.403
rxn_4937                22.832              12.213              10.618
rxn_5047                13.273              21.658              -8.384
rxn_5129                14.087              17.286              -3.199
rxn_5245                25.582              29.873              -4.291
rxn_5345                27.007              33.298              -6.291
rxn_5374                25.507              32.330              -6.823
rxn_5506                25.112              30.881              -5.769
rxn_5581                23.914              35.233             -11.319
rxn_5582                14.557              18.913              -4.356
rxn_5616                20.899              22.839              -1.940
rxn_5653                21.435              27.511              -6.076
rxn_5748                16.506              35.789             -19.283
rxn_5756                23.080              35.182             -12.102
rxn_5854                21.871              28.987              -7.116
rxn_5956                27.436              44.118             -16.682
rxn_6105                29.122              32.166              -3.044
rxn_6178                27.130              41.984             -14.854
rxn_6180                20.653              23.187              -2.534
