,Name,CAM-B3LYP-D3BJ-DFT-forward,CAM-B3LYP-D3BJ-DFT-reverse,CAM-B3LYP-D3BJ-DFT-reaction
0,rxn_33,14.403,53.477,-39.073
1,rxn_53,23.18,57.898,-34.718
2,rxn_83,12.31,46.995,-34.685
3,rxn_216,15.575,44.278,-28.703
4,rxn_310,14.6,53.115,-38.515
5,rxn_365,29.447,62.545,-33.098
6,rxn_632,15.701,53.99,-38.289
7,rxn_721,19.146,57.893,-38.747
8,rxn_745,25.551,27.665,-2.114
9,rxn_769,27.945,29.267,-1.322
10,rxn_853,27.288,30.385,-3.098
11,rxn_1000,36.2,34.571,1.629
12,rxn_1011,36.706,33.009,3.696
13,rxn_1017,30.986,33.44,-2.454
14,rxn_1093,27.669,32.563,-4.893
15,rxn_1248,28.336,31.023,-2.687
16,rxn_1424,27.067,32.492,-5.425
17,rxn_1441,31.581,35.19,-3.608
18,rxn_1463,13.993,55.642,-41.649
19,rxn_1466,10.546,54.585,-44.038
20,rxn_1469,10.649,55.438,-44.789
21,rxn_1479,19.707,58.358,-38.651
22,rxn_1480,12.94,51.823,-38.883
23,rxn_1495,10.467,55.997,-45.53
24,rxn_1536,15.623,45.427,-29.804
25,rxn_1606,18.267,48.92,-30.653
26,rxn_1708,18.354,47.74,-29.386
27,rxn_1779,17.121,45.838,-28.717
28,rxn_1886,22.212,52.489,-30.278
29,rxn_2260,12.83,54.947,-42.118
30,rxn_2270,12.676,51.41,-38.734
31,rxn_2310,19.102,52.509,-33.407
32,rxn_2326,23.857,53.775,-29.918
33,rxn_2334,16.48,53.922,-37.442
34,rxn_2468,24.212,51.538,-27.327
35,rxn_2482,15.674,52.582,-36.908
36,rxn_2517,21.467,52.266,-30.799
37,rxn_2530,16.993,54.114,-37.121
38,rxn_2672,13.903,53.655,-39.752
39,rxn_2720,9.233,51.98,-42.747
40,rxn_2759,13.8,53.622,-39.822
41,rxn_2760,10.708,52.728,-42.02
42,rxn_2972,25.258,45.863,-20.605
43,rxn_3030,13.008,45.749,-32.741
44,rxn_3225,13.32,46.355,-33.035
45,rxn_3483,20.286,41.865,-21.579
46,rxn_3536,20.055,42.917,-22.862
47,rxn_3759,-10.055,25.048,-35.102
48,rxn_3781,-5.27,28.475,-33.746
49,rxn_4123,2.928,36.315,-33.387
50,rxn_4581,22.492,44.927,-22.436
51,rxn_4652,-4.766,38.256,-43.022
52,rxn_4937,6.836,31.873,-25.037
53,rxn_5047,2.856,40.715,-37.859
54,rxn_5129,-0.43,38.299,-38.729
55,rxn_5245,35.276,39.55,-4.274
56,rxn_5345,37.317,43.722,-6.404
57,rxn_5374,35.399,41.946,-6.547
58,rxn_5506,34.401,40.856,-6.455
59,rxn_5581,32.955,47.216,-14.262
60,rxn_5582,26.054,34.451,-8.397
61,rxn_5616,29.236,38.668,-9.432
62,rxn_5653,31.579,42.041,-10.461
63,rxn_5748,26.989,49.495,-22.506
64,rxn_5756,32.112,48.65,-16.537
65,rxn_5854,31.0,42.707,-11.707
66,rxn_5956,40.476,59.575,-19.099
67,rxn_6105,37.887,47.22,-9.334
68,rxn_6178,39.86,57.024,-17.164
69,rxn_6180,27.916,37.503,-9.586
