#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  26.932              55.317             -28.386
rxn_53                  34.925              59.395             -24.470
rxn_83                  23.737              48.590             -24.852
rxn_216                 27.283              49.034             -21.752
rxn_310                 25.128              54.813             -29.685
rxn_365                 39.458              63.318             -23.860
rxn_632                 28.441              56.546             -28.105
rxn_721                 27.622              59.156             -31.534
rxn_745                 32.361              28.241               4.120
rxn_769                 36.590              29.651               6.938
rxn_853                 34.128              30.723               3.405
rxn_1000                44.776              34.631              10.145
rxn_1011                47.159              33.152              14.007
rxn_1017                40.429              33.598               6.831
rxn_1093                37.263              32.492               4.771
rxn_1248                37.354              31.226               6.128
rxn_1424                35.764              32.533               3.231
rxn_1441                39.629              35.406               4.223
rxn_1463                23.115              55.290             -32.175
rxn_1466                19.700              54.266             -34.566
rxn_1469                21.969              56.018             -34.049
rxn_1479                32.650              57.168             -24.518
rxn_1480                27.102              52.569             -25.467
rxn_1495                23.125              56.446             -33.321
rxn_1536                23.389              46.695             -23.306
rxn_1606                25.894              50.355             -24.462
rxn_1708                26.581              48.784             -22.203
rxn_1779                24.963              46.928             -21.965
rxn_1886                30.762              53.270             -22.508
rxn_2260                23.474              55.428             -31.955
rxn_2270                23.609              52.779             -29.170
rxn_2310                28.562              52.275             -23.713
rxn_2326                33.796              54.138             -20.342
rxn_2334                25.140              54.704             -29.564
rxn_2468                33.757              51.995             -18.238
rxn_2482                24.327              53.409             -29.082
rxn_2517                31.766              52.677             -20.911
rxn_2530                26.370              54.340             -27.970
rxn_2672                23.790              54.676             -30.886
rxn_2720                20.803              53.024             -32.221
rxn_2759                25.916              54.699             -28.783
rxn_2760                21.818              53.965             -32.147
rxn_2972                34.927              46.818             -11.891
rxn_3030                20.700              45.870             -25.170
rxn_3225                21.902              47.937             -26.035
rxn_3483                30.480              43.704             -13.224
rxn_3536                27.481              43.332             -15.851
rxn_3759                -6.274              25.053             -31.327
rxn_3781                -2.169              28.579             -30.748
rxn_4123                 5.319              36.836             -31.517
rxn_4581                35.339              44.044              -8.705
rxn_4652                 4.942              37.866             -32.924
rxn_4937                18.466              31.178             -12.712
rxn_5047                11.447              40.698             -29.251
rxn_5129                 9.832              37.718             -27.886
rxn_5245                39.268              41.131              -1.863
rxn_5345                39.939              44.069              -4.129
rxn_5374                38.021              43.529              -5.508
rxn_5506                37.928              41.828              -3.900
rxn_5581                36.786              49.788             -13.002
rxn_5582                28.734              34.772              -6.038
rxn_5616                33.124              38.471              -5.347
rxn_5653                34.366              42.970              -8.604
rxn_5748                30.136              51.606             -21.470
rxn_5756                35.542              50.396             -14.854
rxn_5854                34.586              44.438              -9.852
rxn_5956                42.617              60.759             -18.142
rxn_6105                42.049              47.947              -5.898
rxn_6178                42.757              59.712             -16.955
rxn_6180                31.982              38.189              -6.207
