#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   7.054              47.317             -40.263
rxn_53                  15.529              51.726             -36.197
rxn_83                   4.423              40.404             -35.981
rxn_216                  7.938              38.635             -30.697
rxn_310                  7.000              47.001             -40.001
rxn_365                 22.343              56.700             -34.357
rxn_632                  7.423              47.590             -40.167
rxn_721                 12.267              52.075             -39.809
rxn_745                 18.482              22.578              -4.095
rxn_769                 21.063              24.518              -3.455
rxn_853                 20.262              25.221              -4.959
rxn_1000                29.940              30.325              -0.385
rxn_1011                29.451              28.060               1.391
rxn_1017                24.213              28.737              -4.524
rxn_1093                20.835              27.854              -7.018
rxn_1248                21.457              26.236              -4.780
rxn_1424                20.361              27.910              -7.550
rxn_1441                25.236              30.937              -5.701
rxn_1463                 6.193              49.708             -43.516
rxn_1466                 2.963              48.973             -46.010
rxn_1469                 4.326              51.776             -47.450
rxn_1479                13.675              54.801             -41.126
rxn_1480                 6.080              47.453             -41.373
rxn_1495                 4.518              52.323             -47.805
rxn_1536                 7.374              40.275             -32.901
rxn_1606                10.847              44.416             -33.569
rxn_1708                 9.968              42.365             -32.397
rxn_1779                 8.542              40.342             -31.801
rxn_1886                14.617              47.740             -33.122
rxn_2260                 4.541              50.780             -46.239
rxn_2270                 4.426              47.292             -42.866
rxn_2310                12.220              50.490             -38.270
rxn_2326                15.114              49.759             -34.645
rxn_2334                 7.713              49.597             -41.885
rxn_2468                15.289              47.840             -32.551
rxn_2482                 7.147              48.671             -41.524
rxn_2517                13.318              48.944             -35.627
rxn_2530                 8.238              49.798             -41.560
rxn_2672                 5.328              49.592             -44.264
rxn_2720                 1.876              48.169             -46.293
rxn_2759                 5.684              49.563             -43.879
rxn_2760                 3.303              48.902             -45.599
rxn_2972                21.058              41.411             -20.353
rxn_3030                 7.442              39.572             -32.130
rxn_3225                 9.251              41.274             -32.023
rxn_3483                16.379              37.249             -20.869
rxn_3536                16.220              37.685             -21.465
rxn_3759                -7.873              24.250             -32.123
rxn_3781                -4.320              27.293             -31.613
rxn_4123                 4.427              35.643             -31.217
rxn_4581                19.383              43.109             -23.726
rxn_4652                -8.342              35.868             -44.210
rxn_4937                 1.759              28.320             -26.561
rxn_5047                -1.240              38.500             -39.740
rxn_5129                -4.881              34.226             -39.107
rxn_5245                29.654              30.557              -0.902
rxn_5345                30.726              34.364              -3.639
rxn_5374                29.988              32.403              -2.415
rxn_5506                28.317              32.168              -3.851
rxn_5581                27.267              42.732             -15.464
rxn_5582                21.171              31.887             -10.716
rxn_5616                24.749              35.511             -10.762
rxn_5653                25.982              38.156             -12.174
rxn_5748                21.592              46.136             -24.543
rxn_5756                27.242              44.507             -17.265
rxn_5854                25.252              38.486             -13.234
rxn_5956                36.190              56.296             -20.106
rxn_6105                32.906              43.505             -10.598
rxn_6178                34.238              52.912             -18.674
rxn_6180                22.113              33.491             -11.379
