#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  11.575              52.183             -40.608
rxn_53                  19.257              55.678             -36.421
rxn_83                   8.542              44.346             -35.804
rxn_216                 11.268              42.491             -31.223
rxn_310                 11.388              52.039             -40.652
rxn_365                 26.464              61.279             -34.815
rxn_632                 11.477              51.617             -40.141
rxn_721                 16.196              56.330             -40.134
rxn_745                 20.425              26.667              -6.242
rxn_769                 23.075              28.111              -5.036
rxn_853                 22.133              29.312              -7.179
rxn_1000                32.145              34.559              -2.414
rxn_1011                31.274              32.246              -0.972
rxn_1017                26.281              32.872              -6.590
rxn_1093                22.452              31.810              -9.357
rxn_1248                23.631              30.628              -6.998
rxn_1424                21.688              31.798             -10.110
rxn_1441                27.330              35.077              -7.746
rxn_1463                 8.259              53.796             -45.537
rxn_1466                 4.964              53.227             -48.263
rxn_1469                 7.084              56.289             -49.204
rxn_1479                16.816              60.122             -43.306
rxn_1480                 9.241              52.245             -43.003
rxn_1495                 7.363              57.107             -49.744
rxn_1536                10.829              44.841             -34.012
rxn_1606                13.902              48.588             -34.686
rxn_1708                13.383              46.927             -33.544
rxn_1779                12.007              44.953             -32.946
rxn_1886                17.519              51.934             -34.415
rxn_2260                 7.448              55.080             -47.632
rxn_2270                 6.959              51.269             -44.311
rxn_2310                14.489              54.248             -39.759
rxn_2326                17.937              54.289             -36.352
rxn_2334                10.487              53.933             -43.446
rxn_2468                17.949              52.460             -34.511
rxn_2482                 9.784              52.772             -42.988
rxn_2517                15.951              53.080             -37.130
rxn_2530                11.138              54.148             -43.010
rxn_2672                 8.175              53.597             -45.421
rxn_2720                 4.261              51.823             -47.562
rxn_2759                 8.595              53.807             -45.212
rxn_2760                 5.853              52.817             -46.963
rxn_2972                23.759              45.060             -21.301
rxn_3030                10.269              43.498             -33.229
rxn_3225                12.118              44.747             -32.629
rxn_3483                18.989              40.699             -21.710
rxn_3536                19.180              41.664             -22.483
rxn_3759                -6.913              25.879             -32.791
rxn_3781                -3.093              29.308             -32.401
rxn_4123                 5.294              37.354             -32.059
rxn_4581                20.374              45.111             -24.738
rxn_4652                -6.112              37.782             -43.895
rxn_4937                 4.626              31.321             -26.695
rxn_5047                 1.356              41.001             -39.645
rxn_5129                -2.370              36.893             -39.263
rxn_5245                33.813              34.503              -0.690
rxn_5345                34.768              38.720              -3.953
rxn_5374                33.889              36.588              -2.700
rxn_5506                32.544              36.471              -3.927
rxn_5581                29.613              45.336             -15.723
rxn_5582                23.775              34.697             -10.923
rxn_5616                27.441              38.617             -11.176
rxn_5653                28.666              41.064             -12.398
rxn_5748                24.428              48.799             -24.371
rxn_5756                29.954              47.534             -17.580
rxn_5854                28.332              41.955             -13.623
rxn_5956                38.422              58.738             -20.316
rxn_6105                35.066              46.436             -11.370
rxn_6178                36.917              56.055             -19.138
rxn_6180                24.613              36.505             -11.893
