#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   8.716              50.525             -41.808
rxn_53                  16.762              54.572             -37.811
rxn_83                   5.973              43.291             -37.318
rxn_216                  8.947              41.222             -32.275
rxn_310                  8.557              50.220             -41.662
rxn_365                 23.563              59.635             -36.071
rxn_632                  8.946              50.525             -41.579
rxn_721                 13.526              55.072             -41.546
rxn_745                 18.577              25.161              -6.583
rxn_769                 21.347              27.021              -5.674
rxn_853                 20.318              27.792              -7.474
rxn_1000                30.156              32.720              -2.563
rxn_1011                29.826              30.637              -0.810
rxn_1017                24.558              31.251              -6.693
rxn_1093                21.199              30.436              -9.238
rxn_1248                21.733              28.837              -7.105
rxn_1424                20.557              30.467              -9.910
rxn_1441                25.583              33.403              -7.820
rxn_1463                 6.490              52.976             -46.486
rxn_1466                 3.193              52.336             -49.143
rxn_1469                 4.733              55.086             -50.353
rxn_1479                14.158              58.232             -44.074
rxn_1480                 6.619              50.852             -44.233
rxn_1495                 5.015              55.752             -50.737
rxn_1536                 8.580              43.311             -34.731
rxn_1606                11.859              47.338             -35.480
rxn_1708                11.126              45.418             -34.291
rxn_1779                 9.689              43.375             -33.686
rxn_1886                15.625              50.623             -34.999
rxn_2260                 5.798              53.617             -47.819
rxn_2270                 5.618              50.014             -44.396
rxn_2310                13.059              52.905             -39.846
rxn_2326                16.275              52.605             -36.331
rxn_2334                 8.790              52.436             -43.646
rxn_2468                16.377              50.665             -34.288
rxn_2482                 8.219              51.455             -43.236
rxn_2517                14.418              51.619             -37.201
rxn_2530                 9.380              52.575             -43.195
rxn_2672                 6.546              52.360             -45.815
rxn_2720                 2.981              50.828             -47.846
rxn_2759                 7.022              52.413             -45.391
rxn_2760                 4.394              51.634             -47.240
rxn_2972                21.696              43.414             -21.718
rxn_3030                 8.065              41.654             -33.590
rxn_3225                 9.977              43.171             -33.194
rxn_3483                16.884              39.082             -22.199
rxn_3536                16.826              39.731             -22.904
rxn_3759                -7.954              25.290             -33.245
rxn_3781                -4.181              28.530             -32.711
rxn_4123                 4.370              36.846             -32.476
rxn_4581                19.327              44.499             -25.173
rxn_4652                -8.035              37.381             -45.417
rxn_4937                 2.121              30.114             -27.993
rxn_5047                -0.906              40.008             -40.914
rxn_5129                -4.456              35.950             -40.407
rxn_5245                31.802              32.824              -1.022
rxn_5345                32.793              36.610              -3.816
rxn_5374                31.921              34.685              -2.765
rxn_5506                30.504              34.388              -3.884
rxn_5581                28.699              44.577             -15.878
rxn_5582                22.745              33.966             -11.221
rxn_5616                26.253              37.586             -11.333
rxn_5653                27.452              40.165             -12.713
rxn_5748                23.200              48.184             -24.984
rxn_5756                28.833              46.440             -17.607
rxn_5854                26.841              40.653             -13.812
rxn_5956                37.489              57.964             -20.475
rxn_6105                34.299              45.401             -11.102
rxn_6178                35.749              54.929             -19.180
rxn_6180                23.674              35.528             -11.854
