,Name,GLYP-DFT-forward,GLYP-DFT-reverse,GLYP-DFT-reaction
0,rxn_33,36.443,37.017,-0.574
1,rxn_53,42.653,40.552,2.101
2,rxn_83,31.22,29.875,1.345
3,rxn_216,35.992,33.504,2.487
4,rxn_310,32.553,35.554,-3.001
5,rxn_365,43.334,42.891,0.443
6,rxn_632,37.741,39.629,-1.887
7,rxn_721,31.317,40.26,-8.943
8,rxn_745,38.062,14.282,23.78
9,rxn_769,43.445,14.33,29.116
10,rxn_853,40.418,17.307,23.112
11,rxn_1000,52.663,20.415,32.248
12,rxn_1011,56.89,19.59,37.299
13,rxn_1017,49.847,19.837,30.01
14,rxn_1093,47.133,18.184,28.949
15,rxn_1248,46.298,17.451,28.847
16,rxn_1424,44.883,18.311,26.571
17,rxn_1441,47.038,21.045,25.993
18,rxn_1463,28.538,45.812,-17.274
19,rxn_1466,24.052,45.364,-21.312
20,rxn_1469,27.609,47.055,-19.445
21,rxn_1479,39.718,46.825,-7.107
22,rxn_1480,34.998,44.037,-9.039
23,rxn_1495,30.739,47.785,-17.046
24,rxn_1536,26.167,29.837,-3.67
25,rxn_1606,30.085,34.744,-4.659
26,rxn_1708,29.378,31.114,-1.736
27,rxn_1779,27.91,29.63,-1.72
28,rxn_1886,34.94,36.363,-1.423
29,rxn_2260,31.644,40.356,-8.712
30,rxn_2270,33.769,39.95,-6.181
31,rxn_2310,33.3,36.438,-3.138
32,rxn_2326,40.321,40.013,0.309
33,rxn_2334,31.586,39.894,-8.308
34,rxn_2468,39.714,37.809,1.905
35,rxn_2482,31.571,39.721,-8.15
36,rxn_2517,38.187,38.508,-0.321
37,rxn_2530,33.389,39.245,-5.856
38,rxn_2672,31.571,41.258,-9.687
39,rxn_2720,30.273,40.662,-10.389
40,rxn_2759,36.929,41.164,-4.236
41,rxn_2760,30.581,41.316,-10.736
42,rxn_2972,43.402,29.301,14.101
43,rxn_3030,28.802,27.472,1.33
44,rxn_3225,30.374,31.202,-0.828
45,rxn_3483,40.221,27.428,12.793
46,rxn_3536,35.772,24.253,11.519
47,rxn_3759,5.282,14.351,-9.069
48,rxn_3781,7.095,16.107,-9.012
49,rxn_4123,14.176,24.004,-9.828
50,rxn_4581,43.212,24.029,19.183
51,rxn_4652,13.264,20.523,-7.259
52,rxn_4937,27.032,13.257,13.775
53,rxn_5047,17.307,22.738,-5.431
54,rxn_5129,18.643,18.513,0.13
55,rxn_5245,27.318,30.915,-3.597
56,rxn_5345,28.045,33.802,-5.757
57,rxn_5374,26.762,33.459,-6.697
58,rxn_5506,26.598,31.648,-5.05
59,rxn_5581,25.682,36.802,-11.12
60,rxn_5582,16.132,20.075,-3.943
61,rxn_5616,22.952,23.731,-0.778
62,rxn_5653,22.863,28.824,-5.96
63,rxn_5748,18.091,37.4,-19.309
64,rxn_5756,25.375,36.615,-11.24
65,rxn_5854,23.719,30.227,-6.508
66,rxn_5956,28.688,45.152,-16.464
67,rxn_6105,31.089,33.036,-1.947
68,rxn_6178,28.876,44.14,-15.264
69,rxn_6180,22.697,23.914,-1.218
