#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  36.443              37.017              -0.574
rxn_53                  42.653              40.552               2.101
rxn_83                  31.220              29.875               1.345
rxn_216                 35.992              33.504               2.487
rxn_310                 32.553              35.554              -3.001
rxn_365                 43.334              42.891               0.443
rxn_632                 37.741              39.629              -1.887
rxn_721                 31.317              40.260              -8.943
rxn_745                 38.062              14.282              23.780
rxn_769                 43.445              14.330              29.116
rxn_853                 40.418              17.307              23.112
rxn_1000                52.663              20.415              32.248
rxn_1011                56.890              19.590              37.299
rxn_1017                49.847              19.837              30.010
rxn_1093                47.133              18.184              28.949
rxn_1248                46.298              17.451              28.847
rxn_1424                44.883              18.311              26.571
rxn_1441                47.038              21.045              25.993
rxn_1463                28.538              45.812             -17.274
rxn_1466                24.052              45.364             -21.312
rxn_1469                27.609              47.055             -19.445
rxn_1479                39.718              46.825              -7.107
rxn_1480                34.998              44.037              -9.039
rxn_1495                30.739              47.785             -17.046
rxn_1536                26.167              29.837              -3.670
rxn_1606                30.085              34.744              -4.659
rxn_1708                29.378              31.114              -1.736
rxn_1779                27.910              29.630              -1.720
rxn_1886                34.940              36.363              -1.423
rxn_2260                31.644              40.356              -8.712
rxn_2270                33.769              39.950              -6.181
rxn_2310                33.300              36.438              -3.138
rxn_2326                40.321              40.013               0.309
rxn_2334                31.586              39.894              -8.308
rxn_2468                39.714              37.809               1.905
rxn_2482                31.571              39.721              -8.150
rxn_2517                38.187              38.508              -0.321
rxn_2530                33.389              39.245              -5.856
rxn_2672                31.571              41.258              -9.687
rxn_2720                30.273              40.662             -10.389
rxn_2759                36.929              41.164              -4.236
rxn_2760                30.581              41.316             -10.736
rxn_2972                43.402              29.301              14.101
rxn_3030                28.802              27.472               1.330
rxn_3225                30.374              31.202              -0.828
rxn_3483                40.221              27.428              12.793
rxn_3536                35.772              24.253              11.519
rxn_3759                 5.282              14.351              -9.069
rxn_3781                 7.095              16.107              -9.012
rxn_4123                14.176              24.004              -9.828
rxn_4581                43.212              24.029              19.183
rxn_4652                13.264              20.523              -7.259
rxn_4937                27.032              13.257              13.775
rxn_5047                17.307              22.738              -5.431
rxn_5129                18.643              18.513               0.130
rxn_5245                27.318              30.915              -3.597
rxn_5345                28.045              33.802              -5.757
rxn_5374                26.762              33.459              -6.697
rxn_5506                26.598              31.648              -5.050
rxn_5581                25.682              36.802             -11.120
rxn_5582                16.132              20.075              -3.943
rxn_5616                22.952              23.731              -0.778
rxn_5653                22.863              28.824              -5.960
rxn_5748                18.091              37.400             -19.309
rxn_5756                25.375              36.615             -11.240
rxn_5854                23.719              30.227              -6.508
rxn_5956                28.688              45.152             -16.464
rxn_6105                31.089              33.036              -1.947
rxn_6178                28.876              44.140             -15.264
rxn_6180                22.697              23.914              -1.218
