#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  52.838              75.027             -22.189
rxn_53                  61.159              78.082             -16.923
rxn_83                  52.244              70.568             -18.323
rxn_216                 52.224              72.096             -19.872
rxn_310                 49.876              74.264             -24.388
rxn_365                 67.408              79.452             -12.043
rxn_632                 55.218              76.874             -21.656
rxn_721                 51.834              76.003             -24.169
rxn_745                 51.612              43.604               8.008
rxn_769                 58.157              46.720              11.438
rxn_853                 52.958              46.134               6.824
rxn_1000                66.148              50.372              15.775
rxn_1011                71.662              48.161              23.501
rxn_1017                62.401              49.926              12.475
rxn_1093                59.151              47.834              11.317
rxn_1248                58.498              47.136              11.363
rxn_1424                57.244              47.919               9.325
rxn_1441                61.166              51.788               9.378
rxn_1463                49.711              69.349             -19.638
rxn_1466                45.705              66.071             -20.366
rxn_1469                46.995              66.086             -19.091
rxn_1479                58.360              65.003              -6.643
rxn_1480                52.857              62.780              -9.923
rxn_1495                48.193              66.621             -18.428
rxn_1536                46.798              62.218             -15.420
rxn_1606                48.746              65.589             -16.842
rxn_1708                50.770              65.021             -14.251
rxn_1779                48.473              62.671             -14.198
rxn_1886                55.782              68.858             -13.077
rxn_2260                47.030              68.168             -21.138
rxn_2270                47.439              65.177             -17.738
rxn_2310                52.296              61.411              -9.115
rxn_2326                59.993              64.679              -4.686
rxn_2334                48.405              67.769             -19.364
rxn_2468                59.728              62.328              -2.600
rxn_2482                47.074              65.497             -18.423
rxn_2517                56.907              62.512              -5.605
rxn_2530                49.620              66.108             -16.488
rxn_2672                47.027              67.178             -20.151
rxn_2720                44.442              64.542             -20.100
rxn_2759                50.877              67.559             -16.682
rxn_2760                45.616              65.950             -20.334
rxn_2972                58.605              68.057              -9.452
rxn_3030                43.088              70.679             -27.591
rxn_3225                43.515              69.987             -26.472
rxn_3483                51.919              65.956             -14.037
rxn_3536                46.327              66.884             -20.557
rxn_3759                -0.339              34.789             -35.128
rxn_3781                 6.579              40.770             -34.191
rxn_4123                12.684              49.568             -36.884
rxn_4581                57.377              55.029               2.349
rxn_4652                24.872              51.109             -26.237
rxn_4937                41.649              45.239              -3.589
rxn_5047                33.238              54.988             -21.750
rxn_5129                29.725              53.841             -24.116
rxn_5245                60.743              57.331               3.411
rxn_5345                60.643              61.016              -0.373
rxn_5374                58.266              61.989              -3.723
rxn_5506                59.392              57.628               1.764
rxn_5581                55.540              69.953             -14.413
rxn_5582                42.664              49.433              -6.769
rxn_5616                47.673              54.339              -6.667
rxn_5653                49.883              61.486             -11.603
rxn_5748                47.317              73.406             -26.088
rxn_5756                52.250              70.347             -18.097
rxn_5854                50.611              64.383             -13.772
rxn_5956                58.009              79.625             -21.616
rxn_6105                59.104              64.626              -5.523
rxn_6178                61.153              82.536             -21.382
rxn_6180                48.200              55.255              -7.056
