#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  18.393              76.084             -57.691
rxn_53                  25.850              79.165             -53.315
rxn_83                  14.651              66.276             -51.625
rxn_216                 17.040              63.681             -46.641
rxn_310                 16.891              76.278             -59.388
rxn_365                 32.511              86.117             -53.606
rxn_632                 19.079              74.634             -55.555
rxn_721                 20.428              80.497             -60.070
rxn_745                 21.660              42.306             -20.646
rxn_769                 26.512              44.049             -17.537
rxn_853                 23.181              44.124             -20.943
rxn_1000                34.742              48.453             -13.712
rxn_1011                35.082              47.268             -12.187
rxn_1017                29.296              47.208             -17.911
rxn_1093                25.328              47.282             -21.954
rxn_1248                25.649              45.366             -19.717
rxn_1424                23.362              47.191             -23.829
rxn_1441                30.234              49.672             -19.438
rxn_1463                12.504              67.800             -55.296
rxn_1466                 8.888              67.617             -58.729
rxn_1469                12.992              71.379             -58.387
rxn_1479                23.750              74.571             -50.821
rxn_1480                16.433              67.225             -50.792
rxn_1495                13.740              72.371             -58.632
rxn_1536                15.545              67.071             -51.526
rxn_1606                18.194              70.749             -52.555
rxn_1708                19.244              69.910             -50.666
rxn_1779                17.125              67.594             -50.469
rxn_1886                22.658              73.952             -51.294
rxn_2260                14.507              74.177             -59.670
rxn_2270                12.865              69.778             -56.913
rxn_2310                22.098              72.567             -50.469
rxn_2326                24.874              72.630             -47.756
rxn_2334                15.977              73.046             -57.070
rxn_2468                25.047              70.565             -45.518
rxn_2482                14.843              71.046             -56.203
rxn_2517                23.715              71.619             -47.904
rxn_2530                17.018              72.607             -55.589
rxn_2672                14.364              72.335             -57.971
rxn_2720                10.706              69.654             -58.949
rxn_2759                15.714              72.608             -56.894
rxn_2760                12.110              71.064             -58.953
rxn_2972                26.660              63.265             -36.605
rxn_3030                12.081              61.900             -49.819
rxn_3225                14.062              62.847             -48.786
rxn_3483                20.175              58.065             -37.891
rxn_3536                18.942              59.789             -40.847
rxn_3759               -17.189              34.302             -51.491
rxn_3781               -11.184              40.297             -51.481
rxn_4123                -3.163              48.112             -51.274
rxn_4581                27.482              64.900             -37.418
rxn_4652                -3.509              55.116             -58.626
rxn_4937                 7.971              48.831             -40.860
rxn_5047                 4.374              57.871             -53.497
rxn_5129                 1.522              56.549             -55.027
rxn_5245                50.263              50.454              -0.191
rxn_5345                49.575              52.322              -2.747
rxn_5374                47.823              51.892              -4.069
rxn_5506                47.727              51.002              -3.274
rxn_5581                46.031              61.986             -15.956
rxn_5582                40.652              49.967              -9.315
rxn_5616                43.656              53.446              -9.790
rxn_5653                44.457              56.680             -12.223
rxn_5748                40.704              64.975             -24.271
rxn_5756                45.834              62.920             -17.086
rxn_5854                44.967              57.900             -12.933
rxn_5956                54.527              74.026             -19.499
rxn_6105                51.929              61.797              -9.868
rxn_6178                55.167              75.292             -20.125
rxn_6180                40.626              51.045             -10.419
