,Name,M06-DFT-forward,M06-DFT-reverse,M06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_53,23.351,54.223,-30.872
2,rxn_83,11.871,42.496,-30.625
3,rxn_216,14.078,40.287,-26.209
4,rxn_310,14.745,50.332,-35.588
5,rxn_365,28.408,59.914,-31.506
6,rxn_632,14.937,49.887,-34.95
7,rxn_721,19.445,54.933,-35.488
8,rxn_745,24.232,24.153,0.079
9,rxn_769,25.91,25.392,0.518
10,rxn_853,26.66,27.105,-0.445
11,rxn_1000,34.245,31.494,2.751
12,rxn_1011,34.513,30.988,3.525
13,rxn_1017,28.989,30.222,-1.233
14,rxn_1093,26.108,30.173,-4.065
15,rxn_1248,26.877,28.283,-1.405
16,rxn_1424,25.175,30.001,-4.826
17,rxn_1441,29.742,32.125,-2.383
18,rxn_1463,14.511,53.133,-38.622
19,rxn_1466,10.402,53.385,-42.983
20,rxn_1469,11.468,53.944,-42.476
21,rxn_1479,20.484,57.854,-37.37
22,rxn_1480,14.348,50.568,-36.22
23,rxn_1495,11.623,55.175,-43.553
24,rxn_1536,15.041,42.405,-27.363
25,rxn_1606,17.692,47.044,-29.351
26,rxn_1708,16.832,44.523,-27.691
27,rxn_1779,16.286,42.486,-26.199
28,rxn_1886,20.478,50.878,-30.4
29,rxn_2260,12.746,54.823,-42.077
30,rxn_2270,12.154,50.366,-38.212
31,rxn_2310,15.06,49.274,-34.215
32,rxn_2326,22.267,53.594,-31.327
33,rxn_2334,15.811,53.935,-38.124
34,rxn_2468,22.346,51.312,-28.966
35,rxn_2482,15.02,52.461,-37.441
36,rxn_2517,18.793,50.504,-31.711
37,rxn_2530,16.429,54.21,-37.781
38,rxn_2672,13.308,53.003,-39.695
39,rxn_2720,9.046,51.933,-42.887
40,rxn_2759,13.609,53.515,-39.906
41,rxn_2760,10.436,52.569,-42.132
42,rxn_2972,25.379,45.475,-20.096
43,rxn_3030,13.325,41.981,-28.656
44,rxn_3225,14.29,43.046,-28.756
45,rxn_3483,21.873,40.146,-18.273
46,rxn_3536,21.33,41.257,-19.927
47,rxn_3759,-5.014,22.927,-27.941
48,rxn_3781,-1.554,27.454,-29.008
49,rxn_4123,7.515,33.931,-26.416
50,rxn_4581,17.351,36.947,-19.596
51,rxn_4652,-5.761,31.242,-37.003
52,rxn_4937,6.947,26.407,-19.459
53,rxn_5047,1.625,34.052,-32.427
54,rxn_5129,-1.348,31.772,-33.119
55,rxn_5245,33.166,35.515,-2.349
56,rxn_5345,36.051,40.2,-4.149
57,rxn_5374,33.881,37.29,-3.409
58,rxn_5506,33.125,37.166,-4.041
59,rxn_5581,29.229,43.563,-14.334
60,rxn_5582,21.944,30.963,-9.019
61,rxn_5616,25.339,36.761,-11.421
62,rxn_5653,27.848,39.631,-11.783
63,rxn_5748,23.787,47.163,-23.376
64,rxn_5756,28.448,45.662,-17.214
65,rxn_5854,27.742,40.367,-12.625
66,rxn_5956,36.187,55.442,-19.255
67,rxn_6105,32.631,44.599,-11.968
68,rxn_6178,35.603,53.208,-17.604
69,rxn_6180,24.335,35.331,-10.996
