#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  14.709              50.393             -35.684
rxn_53                  23.351              54.223             -30.872
rxn_83                  11.871              42.496             -30.625
rxn_216                 14.078              40.287             -26.209
rxn_310                 14.745              50.332             -35.588
rxn_365                 28.408              59.914             -31.506
rxn_632                 14.937              49.887             -34.950
rxn_721                 19.445              54.933             -35.488
rxn_745                 24.232              24.153               0.079
rxn_769                 25.910              25.392               0.518
rxn_853                 26.660              27.105              -0.445
rxn_1000                34.245              31.494               2.751
rxn_1011                34.513              30.988               3.525
rxn_1017                28.989              30.222              -1.233
rxn_1093                26.108              30.173              -4.065
rxn_1248                26.877              28.283              -1.405
rxn_1424                25.175              30.001              -4.826
rxn_1441                29.742              32.125              -2.383
rxn_1463                14.511              53.133             -38.622
rxn_1466                10.402              53.385             -42.983
rxn_1469                11.468              53.944             -42.476
rxn_1479                20.484              57.854             -37.370
rxn_1480                14.348              50.568             -36.220
rxn_1495                11.623              55.175             -43.553
rxn_1536                15.041              42.405             -27.363
rxn_1606                17.692              47.044             -29.351
rxn_1708                16.832              44.523             -27.691
rxn_1779                16.286              42.486             -26.199
rxn_1886                20.478              50.878             -30.400
rxn_2260                12.746              54.823             -42.077
rxn_2270                12.154              50.366             -38.212
rxn_2310                15.060              49.274             -34.215
rxn_2326                22.267              53.594             -31.327
rxn_2334                15.811              53.935             -38.124
rxn_2468                22.346              51.312             -28.966
rxn_2482                15.020              52.461             -37.441
rxn_2517                18.793              50.504             -31.711
rxn_2530                16.429              54.210             -37.781
rxn_2672                13.308              53.003             -39.695
rxn_2720                 9.046              51.933             -42.887
rxn_2759                13.609              53.515             -39.906
rxn_2760                10.436              52.569             -42.132
rxn_2972                25.379              45.475             -20.096
rxn_3030                13.325              41.981             -28.656
rxn_3225                14.290              43.046             -28.756
rxn_3483                21.873              40.146             -18.273
rxn_3536                21.330              41.257             -19.927
rxn_3759                -5.014              22.927             -27.941
rxn_3781                -1.554              27.454             -29.008
rxn_4123                 7.515              33.931             -26.416
rxn_4581                17.351              36.947             -19.596
rxn_4652                -5.761              31.242             -37.003
rxn_4937                 6.947              26.407             -19.459
rxn_5047                 1.625              34.052             -32.427
rxn_5129                -1.348              31.772             -33.119
rxn_5245                33.166              35.515              -2.349
rxn_5345                36.051              40.200              -4.149
rxn_5374                33.881              37.290              -3.409
rxn_5506                33.125              37.166              -4.041
rxn_5581                29.229              43.563             -14.334
rxn_5582                21.944              30.963              -9.019
rxn_5616                25.339              36.761             -11.421
rxn_5653                27.848              39.631             -11.783
rxn_5748                23.787              47.163             -23.376
rxn_5756                28.448              45.662             -17.214
rxn_5854                27.742              40.367             -12.625
rxn_5956                36.187              55.442             -19.255
rxn_6105                32.631              44.599             -11.968
rxn_6178                35.603              53.208             -17.604
rxn_6180                24.335              35.331             -10.996
