#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  12.370              52.259             -39.889
rxn_53                  20.496              55.598             -35.101
rxn_83                  10.152              44.488             -34.336
rxn_216                 13.175              43.497             -30.322
rxn_310                 12.166              52.136             -39.970
rxn_365                 27.259              62.236             -34.977
rxn_632                 12.601              51.000             -38.399
rxn_721                 17.175              56.564             -39.390
rxn_745                 22.417              25.458              -3.041
rxn_769                 25.559              27.502              -1.942
rxn_853                 24.245              27.944              -3.700
rxn_1000                33.700              33.380               0.320
rxn_1011                32.715              31.543               1.171
rxn_1017                27.826              31.519              -3.693
rxn_1093                23.768              31.072              -7.303
rxn_1248                25.209              29.590              -4.381
rxn_1424                23.026              30.902              -7.876
rxn_1441                28.933              33.808              -4.876
rxn_1463                11.543              52.064             -40.521
rxn_1466                 8.160              51.594             -43.434
rxn_1469                 9.693              53.615             -43.922
rxn_1479                19.539              57.456             -37.918
rxn_1480                12.463              49.705             -37.242
rxn_1495                 9.514              54.197             -44.683
rxn_1536                13.245              44.332             -31.087
rxn_1606                15.548              47.823             -32.276
rxn_1708                16.104              46.919             -30.816
rxn_1779                14.871              44.833             -29.962
rxn_1886                19.238              51.399             -32.161
rxn_2260                10.454              54.623             -44.169
rxn_2270                 8.823              50.049             -41.226
rxn_2310                16.285              52.285             -36.000
rxn_2326                20.368              53.138             -32.770
rxn_2334                12.992              53.236             -40.244
rxn_2468                20.707              51.224             -30.517
rxn_2482                12.082              51.602             -39.520
rxn_2517                18.316              51.634             -33.318
rxn_2530                13.843              53.499             -39.656
rxn_2672                10.643              52.398             -41.755
rxn_2720                 6.347              50.552             -44.205
rxn_2759                10.636              52.778             -42.142
rxn_2760                 8.074              51.631             -43.557
rxn_2972                24.248              47.856             -23.608
rxn_3030                11.932              47.278             -35.347
rxn_3225                12.967              47.618             -34.651
rxn_3483                19.384              42.931             -23.548
rxn_3536                19.548              45.123             -25.575
rxn_3759                -9.663              27.354             -37.017
rxn_3781                -5.462              31.947             -37.409
rxn_4123                 2.696              39.160             -36.463
rxn_4581                21.146              45.754             -24.608
rxn_4652                -3.516              38.636             -42.152
rxn_4937                 7.994              33.547             -25.553
rxn_5047                 3.716              42.383             -38.667
rxn_5129                 0.274              39.667             -39.392
rxn_5245                35.515              36.817              -1.303
rxn_5345                36.716              41.080              -4.364
rxn_5374                35.060              39.046              -3.986
rxn_5506                34.296              38.619              -4.323
rxn_5581                34.118              47.523             -13.405
rxn_5582                28.742              36.658              -7.916
rxn_5616                31.400              40.766              -9.366
rxn_5653                33.311              43.279              -9.968
rxn_5748                28.822              50.864             -22.042
rxn_5756                33.824              49.578             -15.754
rxn_5854                32.862              44.891             -12.029
rxn_5956                42.370              60.415             -18.045
rxn_6105                38.827              48.807              -9.980
rxn_6178                42.216              59.340             -17.124
rxn_6180                28.919              38.768              -9.849
