#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  14.431              42.738             -28.306
rxn_53                  23.101              47.292             -24.191
rxn_83                  10.378              34.474             -24.096
rxn_216                 13.518              32.137             -18.620
rxn_310                 14.426              42.800             -28.374
rxn_365                 27.918              54.086             -26.169
rxn_632                 14.166              42.997             -28.831
rxn_721                 18.699              48.095             -29.396
rxn_745                 25.676              19.862               5.814
rxn_769                 24.820              17.511               7.310
rxn_853                 29.050              23.416               5.634
rxn_1000                36.585              28.351               8.234
rxn_1011                35.152              27.248               7.904
rxn_1017                30.359              26.469               3.890
rxn_1093                25.879              24.944               0.935
rxn_1248                29.173              24.801               4.372
rxn_1424                25.103              24.651               0.452
rxn_1441                30.223              27.808               2.416
rxn_1463                12.361              50.921             -38.560
rxn_1466                 7.854              51.228             -43.374
rxn_1469                 9.590              51.755             -42.165
rxn_1479                19.485              56.634             -37.148
rxn_1480                13.364              48.636             -35.273
rxn_1495                 9.602              53.049             -43.447
rxn_1536                14.125              35.618             -21.493
rxn_1606                16.771              40.260             -23.489
rxn_1708                15.731              37.059             -21.328
rxn_1779                15.466              35.467             -20.001
rxn_1886                19.601              44.328             -24.727
rxn_2260                12.104              48.190             -36.086
rxn_2270                11.345              44.230             -32.885
rxn_2310                13.313              43.404             -30.090
rxn_2326                21.072              48.358             -27.287
rxn_2334                15.026              47.256             -32.229
rxn_2468                20.965              46.148             -25.183
rxn_2482                14.680              46.280             -31.600
rxn_2517                17.116              44.905             -27.789
rxn_2530                16.070              48.097             -32.027
rxn_2672                12.682              46.654             -33.972
rxn_2720                 7.787              46.080             -38.293
rxn_2759                12.692              47.106             -34.414
rxn_2760                 8.810              46.388             -37.578
rxn_2972                25.938              37.642             -11.704
rxn_3030                13.610              34.112             -20.502
rxn_3225                14.450              36.006             -21.556
rxn_3483                23.647              32.726              -9.078
rxn_3536                23.811              32.882              -9.071
rxn_3759                -3.319              17.844             -21.163
rxn_3781                -0.219              21.274             -21.493
rxn_4123                 8.010              26.732             -18.722
rxn_4581                17.340              30.316             -12.976
rxn_4652                -5.100              24.058             -29.159
rxn_4937                 8.428              19.817             -11.389
rxn_5047                 2.293              27.331             -25.038
rxn_5129                 0.274              23.855             -23.580
rxn_5245                26.931              31.755              -4.825
rxn_5345                30.956              37.457              -6.501
rxn_5374                28.643              34.186              -5.544
rxn_5506                27.490              34.676              -7.186
rxn_5581                21.283              35.809             -14.526
rxn_5582                13.033              22.254              -9.221
rxn_5616                19.019              29.525             -10.506
rxn_5653                21.106              31.524             -10.418
rxn_5748                15.749              37.701             -21.952
rxn_5756                21.243              38.872             -17.630
rxn_5854                21.198              32.599             -11.401
rxn_5956                27.976              47.580             -19.604
rxn_6105                25.185              37.280             -12.095
rxn_6178                27.193              44.242             -17.049
rxn_6180                16.696              27.531             -10.835
