,Name,MP2-DFT-forward,MP2-DFT-reverse,MP2-DFT-reaction
0,rxn_33,-5.625,44.448,-50.073
1,rxn_53,2.911,48.871,-45.96
2,rxn_83,-7.839,37.112,-44.951
3,rxn_216,-3.71,34.548,-38.258
4,rxn_310,-4.423,44.126,-48.549
5,rxn_365,11.482,54.058,-42.576
6,rxn_632,-6.065,43.457,-49.521
7,rxn_721,2.245,49.122,-46.877
8,rxn_745,8.909,19.879,-10.971
9,rxn_769,11.727,23.179,-11.452
10,rxn_853,10.403,22.379,-11.976
11,rxn_1000,20.152,28.492,-8.34
12,rxn_1011,18.003,25.615,-7.612
13,rxn_1017,13.512,26.512,-13.0
14,rxn_1093,10.356,25.882,-15.526
15,rxn_1248,10.715,23.704,-12.988
16,rxn_1424,10.537,26.051,-15.514
17,rxn_1441,16.091,29.081,-12.991
18,rxn_1463,-5.165,46.142,-51.307
19,rxn_1466,-8.126,45.45,-53.576
20,rxn_1469,-7.566,48.897,-56.463
21,rxn_1479,0.688,53.125,-52.437
22,rxn_1480,-8.657,43.993,-52.65
23,rxn_1495,-8.069,49.473,-57.541
24,rxn_1536,-2.861,37.904,-40.765
25,rxn_1606,1.052,42.149,-41.098
26,rxn_1708,-0.631,40.184,-40.814
27,rxn_1779,-1.985,37.989,-39.974
28,rxn_1886,4.423,45.828,-41.406
29,rxn_2260,-7.726,48.683,-56.409
30,rxn_2270,-8.145,44.66,-52.805
31,rxn_2310,4.727,53.014,-48.287
32,rxn_2326,3.001,47.784,-44.783
33,rxn_2334,-3.858,47.124,-50.982
34,rxn_2468,3.316,46.081,-42.765
35,rxn_2482,-4.203,46.526,-50.729
36,rxn_2517,2.547,48.494,-45.946
37,rxn_2530,-3.849,47.717,-51.566
38,rxn_2672,-6.752,47.146,-53.898
39,rxn_2720,-10.575,45.895,-56.47
40,rxn_2759,-7.333,47.467,-54.8
41,rxn_2760,-8.753,46.578,-55.331
42,rxn_2972,12.309,39.95,-27.641
43,rxn_3030,-2.268,36.568,-38.836
44,rxn_3225,1.322,38.5,-37.178
45,rxn_3483,6.948,35.11,-28.162
46,rxn_3536,8.625,35.61,-26.985
47,rxn_3759,-8.024,25.41,-33.434
48,rxn_3781,-4.91,28.128,-33.037
49,rxn_4123,4.428,36.765,-32.336
50,rxn_4581,12.676,48.515,-35.839
51,rxn_4652,-14.506,38.863,-53.369
52,rxn_4937,-7.76,30.664,-38.424
53,rxn_5047,-7.356,41.016,-48.372
54,rxn_5129,-12.358,36.087,-48.445
55,rxn_5245,24.861,24.26,0.602
56,rxn_5345,25.663,28.622,-2.958
57,rxn_5374,25.747,25.545,0.202
58,rxn_5506,23.454,26.174,-2.72
59,rxn_5581,24.278,41.511,-17.234
60,rxn_5582,20.764,34.858,-14.094
61,rxn_5616,22.803,37.582,-14.779
62,rxn_5653,23.858,38.831,-14.973
63,rxn_5748,19.285,46.049,-26.764
64,rxn_5756,25.613,44.144,-18.53
65,rxn_5854,21.904,37.846,-15.943
66,rxn_5956,36.712,57.886,-21.174
67,rxn_6105,30.994,44.747,-13.753
68,rxn_6178,32.715,52.727,-20.012
69,rxn_6180,18.989,34.007,-15.019
