#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  -5.625              44.448             -50.073
rxn_53                   2.911              48.871             -45.960
rxn_83                  -7.839              37.112             -44.951
rxn_216                 -3.710              34.548             -38.258
rxn_310                 -4.423              44.126             -48.549
rxn_365                 11.482              54.058             -42.576
rxn_632                 -6.065              43.457             -49.521
rxn_721                  2.245              49.122             -46.877
rxn_745                  8.909              19.879             -10.971
rxn_769                 11.727              23.179             -11.452
rxn_853                 10.403              22.379             -11.976
rxn_1000                20.152              28.492              -8.340
rxn_1011                18.003              25.615              -7.612
rxn_1017                13.512              26.512             -13.000
rxn_1093                10.356              25.882             -15.526
rxn_1248                10.715              23.704             -12.988
rxn_1424                10.537              26.051             -15.514
rxn_1441                16.091              29.081             -12.991
rxn_1463                -5.165              46.142             -51.307
rxn_1466                -8.126              45.450             -53.576
rxn_1469                -7.566              48.897             -56.463
rxn_1479                 0.688              53.125             -52.437
rxn_1480                -8.657              43.993             -52.650
rxn_1495                -8.069              49.473             -57.541
rxn_1536                -2.861              37.904             -40.765
rxn_1606                 1.052              42.149             -41.098
rxn_1708                -0.631              40.184             -40.814
rxn_1779                -1.985              37.989             -39.974
rxn_1886                 4.423              45.828             -41.406
rxn_2260                -7.726              48.683             -56.409
rxn_2270                -8.145              44.660             -52.805
rxn_2310                 4.727              53.014             -48.287
rxn_2326                 3.001              47.784             -44.783
rxn_2334                -3.858              47.124             -50.982
rxn_2468                 3.316              46.081             -42.765
rxn_2482                -4.203              46.526             -50.729
rxn_2517                 2.547              48.494             -45.946
rxn_2530                -3.849              47.717             -51.566
rxn_2672                -6.752              47.146             -53.898
rxn_2720               -10.575              45.895             -56.470
rxn_2759                -7.333              47.467             -54.800
rxn_2760                -8.753              46.578             -55.331
rxn_2972                12.309              39.950             -27.641
rxn_3030                -2.268              36.568             -38.836
rxn_3225                 1.322              38.500             -37.178
rxn_3483                 6.948              35.110             -28.162
rxn_3536                 8.625              35.610             -26.985
rxn_3759                -8.024              25.410             -33.434
rxn_3781                -4.910              28.128             -33.037
rxn_4123                 4.428              36.765             -32.336
rxn_4581                12.676              48.515             -35.839
rxn_4652               -14.506              38.863             -53.369
rxn_4937                -7.760              30.664             -38.424
rxn_5047                -7.356              41.016             -48.372
rxn_5129               -12.358              36.087             -48.445
rxn_5245                24.861              24.260               0.602
rxn_5345                25.663              28.622              -2.958
rxn_5374                25.747              25.545               0.202
rxn_5506                23.454              26.174              -2.720
rxn_5581                24.278              41.511             -17.234
rxn_5582                20.764              34.858             -14.094
rxn_5616                22.803              37.582             -14.779
rxn_5653                23.858              38.831             -14.973
rxn_5748                19.285              46.049             -26.764
rxn_5756                25.613              44.144             -18.530
rxn_5854                21.904              37.846             -15.943
rxn_5956                36.712              57.886             -21.174
rxn_6105                30.994              44.747             -13.753
rxn_6178                32.715              52.727             -20.012
rxn_6180                18.989              34.007             -15.019
