;Name;classes
0;02_001;DA
1;02_002;DA
2;02_003;DA
3;02_004;DA
4;02_005;DA
5;02_006;DA
6;02_007;DA
7;02_008;DA
8;02_009;DA
9;02_010;DA
10;02_011;DA
11;02_012;DA
12;02_013;DA
13;02_014;DA
14;02_015;DA
15;02_016;DA
16;02_017;DA
17;02_018;DA
18;02_019;DA
19;02_020;DA
20;02_021;DA
21;02_022;DA
22;02_023;DA
23;02_024;DA
24;02_025;DA
25;02_026;DA
26;02_027;DA
27;02_028;DA
28;02_029;DA
29;02_030;DA
30;02_031;DA
31;02_032;DA
32;02_033;DA
33;02_034;DA
34;02_035;DA
35;02_036;DA
36;02_037;DA
37;02_038;DA
38;02_039;DA
39;02_040;DA
40;02_041;DA
41;02_042;DA
42;02_043;DA
43;02_044;DA
44;02_045;DA
45;02_046;DA
46;02_047;DA
47;02_048;DA
48;02_049;DA
49;02_050;3_2
50;02_051;3_2
51;02_052;3_2
52;02_053;3_2
53;02_054;3_2
54;02_055;3_2
55;02_056;3_2
56;02_057;3_2
57;02_058;3_2
58;02_059;3_2
59;02_060;3_2
60;02_061;3_2
61;02_062;3_2
62;02_063;3_2
63;02_064;3_2
64;02_065;3_2
65;02_066;3_2
66;02_067;3_2
67;02_068;3_2
68;02_069;3_2
69;02_070;3_2
70;02_071;3_2
71;02_072;3_2
72;02_073;3_2
73;02_074;3_2
74;02_075;3_2
75;02_076;3_2
76;02_077;3_2
77;02_078;3_2
78;02_079;3_2
79;02_080;3_2
80;02_081;3_2
81;02_082;3_2
82;02_083;Electrocyclic
83;02_084;Electrocyclic
84;02_085;Electrocyclic
85;02_086;Electrocyclic
86;02_087;Electrocyclic
87;02_088;Electrocyclic
88;02_089;Electrocyclic
89;02_090;Electrocyclic
90;02_091;Electrocyclic
91;02_092;Electrocyclic
92;02_093;Electrocyclic
93;02_094;Electrocyclic
94;02_095;Electrocyclic
95;02_096;Electrocyclic
96;02_097;Electrocyclic
97;02_098;Electrocyclic
98;02_099;Electrocyclic
99;02_100;Electrocyclic
100;02_101;Electrocyclic
101;02_102;Electrocyclic
102;02_103;Electrocyclic
103;02_104;Electrocyclic
104;02_105;Electrocyclic
105;02_106;[4+6]cycloaddition
106;02_107;[6+4]cycloaddition
107;02_108;[8+2]cycloaddition
108;02_109;3_3
109;02_110;3_3
110;02_111;3_3
111;02_112;[4+6]cycloaddition
112;02_113;[6+4]cycloaddition
113;02_114;[8+2]cycloaddition
114;02_115;[4+6]cycloaddition
115;02_116;[6+4]cycloaddition
116;02_117;[8+2]cycloaddition
117;02_118;DA
118;02_119;[6+4]intramolecular
119;02_120;DA
120;02_121;[6+4]intramolecular
121;02_122;DA
122;02_123;[6+4]intramolecular
123;02_124;DA
124;02_125;[6+4]intramolecular
125;02_126;3_3
126;02_127;3_3
127;02_128;3_3
128;02_129;3_3
129;02_130;3_3
130;02_131;3_3
131;02_132;3_3
132;02_133;3_3
133;02_134;3_3
134;02_135;3_3
135;02_136;3_3
136;02_137;3_3
137;02_138;3_3
138;02_139;3_3
139;02_140;[2+2+2]intramolecular
