;Name;classes
0;rxn_33;DA
1;rxn_53;DA
2;rxn_83;DA
3;rxn_216;DA
4;rxn_310;DA
5;rxn_365;DA
6;rxn_632;DA
7;rxn_721;DA
8;rxn_745;DA
9;rxn_769;DA
10;rxn_853;DA
11;rxn_1000;DA
12;rxn_1011;DA
13;rxn_1017;DA
14;rxn_1093;DA
15;rxn_1248;DA
16;rxn_1424;DA
17;rxn_1441;DA
18;rxn_1463;DA
19;rxn_1466;DA
20;rxn_1469;DA
21;rxn_1479;DA
22;rxn_1480;DA
23;rxn_1495;DA
24;rxn_1536;DA
25;rxn_1606;DA
26;rxn_1708;DA
27;rxn_1779;DA
28;rxn_1886;DA
29;rxn_2260;DA
30;rxn_2270;DA
31;rxn_2310;DA
32;rxn_2326;DA
33;rxn_2334;DA
34;rxn_2468;DA
35;rxn_2482;DA
36;rxn_2517;DA
37;rxn_2530;DA
38;rxn_2672;DA
39;rxn_2720;DA
40;rxn_2759;DA
41;rxn_2760;DA
42;rxn_2972;3_2
43;rxn_3030;3_2
44;rxn_3225;3_2
45;rxn_3483;3_2
46;rxn_3536;3_2
47;rxn_3759;3_2
48;rxn_3781;3_2
49;rxn_4123;3_2
50;rxn_4581;3_2
51;rxn_4652;3_2
52;rxn_4937;3_2
53;rxn_5047;3_2
54;rxn_5129;3_2
55;rxn_5245;3_3
56;rxn_5345;3_3
57;rxn_5374;3_3
58;rxn_5506;3_3
59;rxn_5581;3_3
60;rxn_5582;3_3
61;rxn_5616;3_3
62;rxn_5653;3_3
63;rxn_5748;3_3
64;rxn_5756;3_3
65;rxn_5854;3_3
66;rxn_5956;3_3
67;rxn_6105;3_3
68;rxn_6178;3_3
69;rxn_6180;3_3
