#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  31.106              46.440             -15.333
rxn_53                  38.812              50.522             -11.710
rxn_83                  27.585              40.313             -12.728
rxn_216                 31.362              42.267             -10.905
rxn_310                 28.689              45.472             -16.784
rxn_365                 41.910              53.577             -11.667
rxn_632                 32.644              48.535             -15.891
rxn_721                 30.031              50.094             -20.063
rxn_745                 35.809              22.001              13.808
rxn_769                 40.023              22.808              17.216
rxn_853                 37.949              24.882              13.067
rxn_1000                48.910              28.654              20.256
rxn_1011                52.183              27.297              24.886
rxn_1017                45.156              27.761              17.396
rxn_1093                42.052              26.217              15.836
rxn_1248                42.007              25.284              16.723
rxn_1424                40.427              26.301              14.126
rxn_1441                43.355              29.275              14.080
rxn_1463                27.376              50.606             -23.230
rxn_1466                23.637              49.529             -25.892
rxn_1469                25.779              50.574             -24.795
rxn_1479                36.929              50.961             -14.032
rxn_1480                31.926              47.251             -15.325
rxn_1495                27.488              51.055             -23.567
rxn_1536                25.342              38.202             -12.860
rxn_1606                28.284              42.467             -14.183
rxn_1708                28.429              39.936             -11.507
rxn_1779                26.974              38.249             -11.275
rxn_1886                33.338              45.090             -11.752
rxn_2260                27.283              48.107             -20.825
rxn_2270                28.378              46.291             -17.912
rxn_2310                30.663              44.041             -13.377
rxn_2326                37.401              47.125              -9.724
rxn_2334                28.744              47.721             -18.977
rxn_2468                37.099              44.876              -7.777
rxn_2482                28.155              46.713             -18.559
rxn_2517                34.915              45.350             -10.435
rxn_2530                30.178              47.189             -17.011
rxn_2672                27.664              48.089             -20.425
rxn_2720                25.134              46.897             -21.763
rxn_2759                30.925              48.056             -17.131
rxn_2760                25.850              47.688             -21.838
rxn_2972                39.498              40.057              -0.559
rxn_3030                25.068              38.886             -13.818
rxn_3225                26.220              41.612             -15.392
rxn_3483                35.720              37.411              -1.691
rxn_3536                31.874              36.007              -4.133
rxn_3759                -0.788              21.411             -22.199
rxn_3781                 2.574              24.263             -21.689
rxn_4123                 9.839              32.518             -22.678
rxn_4581                38.932              34.554               4.378
rxn_4652                 8.672              29.821             -21.149
rxn_4937                23.113              23.006               0.106
rxn_5047                14.476              32.660             -18.184
rxn_5129                13.754              28.996             -15.242
rxn_5245                33.847              36.440              -2.593
rxn_5345                34.949              39.803              -4.854
rxn_5374                33.160              39.243              -6.083
rxn_5506                32.999              37.305              -4.307
rxn_5581                32.160              44.169             -12.009
rxn_5582                22.870              27.789              -4.920
rxn_5616                28.248              31.808              -3.560
rxn_5653                29.196              36.751              -7.555
rxn_5748                24.846              45.530             -20.685
rxn_5756                30.852              44.617             -13.765
rxn_5854                29.510              38.232              -8.722
rxn_5956                36.598              54.321             -17.723
rxn_6105                37.299              41.609              -4.310
rxn_6178                36.573              52.782             -16.209
rxn_6180                27.844              32.196              -4.352
