#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  22.546              51.090             -28.544
rxn_53                  29.786              54.782             -24.996
rxn_83                  18.159              43.080             -24.920
rxn_216                 21.822              43.456             -21.634
rxn_310                 20.214              50.345             -30.131
rxn_365                 33.222              59.706             -26.484
rxn_632                 23.384              51.973             -28.589
rxn_721                 21.996              55.503             -33.507
rxn_745                 26.899              25.078               1.821
rxn_769                 30.990              25.626               5.364
rxn_853                 29.092              27.849               1.243
rxn_1000                40.311              31.708               8.603
rxn_1011                41.969              30.705              11.264
rxn_1017                35.966              30.679               5.287
rxn_1093                32.314              29.835               2.479
rxn_1248                32.477              28.578               3.898
rxn_1424                30.467              29.810               0.656
rxn_1441                34.959              32.372               2.587
rxn_1463                18.297              54.112             -35.815
rxn_1466                14.266              53.753             -39.487
rxn_1469                17.510              55.958             -38.448
rxn_1479                28.748              57.718             -28.970
rxn_1480                22.841              52.201             -29.361
rxn_1495                19.167              56.763             -37.595
rxn_1536                16.938              43.555             -26.617
rxn_1606                20.290              48.067             -27.777
rxn_1708                20.142              45.483             -25.340
rxn_1779                18.540              43.641             -25.101
rxn_1886                24.627              50.658             -26.031
rxn_2260                18.943              53.727             -34.784
rxn_2270                19.280              51.180             -31.900
rxn_2310                22.779              50.689             -27.911
rxn_2326                28.383              53.061             -24.678
rxn_2334                20.309              53.179             -32.870
rxn_2468                28.147              50.817             -22.670
rxn_2482                19.663              51.971             -32.309
rxn_2517                26.358              51.486             -25.128
rxn_2530                21.706              52.728             -31.022
rxn_2672                19.084              53.329             -34.245
rxn_2720                16.259              51.840             -35.581
rxn_2759                22.106              53.397             -31.291
rxn_2760                17.029              52.732             -35.703
rxn_2972                32.347              44.095             -11.748
rxn_3030                18.245              42.205             -23.960
rxn_3225                19.689              44.804             -25.115
rxn_3483                27.969              40.053             -12.083
rxn_3536                25.447              39.623             -14.176
rxn_3759                -6.596              24.348             -30.944
rxn_3781                -2.390              28.293             -30.683
rxn_4123                 5.090              36.085             -30.995
rxn_4581                30.864              40.697              -9.833
rxn_4652                 1.196              34.276             -33.080
rxn_4937                14.304              27.778             -13.475
rxn_5047                 7.444              36.986             -29.542
rxn_5129                 6.451              33.947             -27.496
rxn_5245                33.620              37.026              -3.406
rxn_5345                34.357              39.765              -5.408
rxn_5374                32.632              39.118              -6.486
rxn_5506                32.298              38.009              -5.711
rxn_5581                31.915              45.127             -13.212
rxn_5582                24.353              30.989              -6.636
rxn_5616                29.287              34.850              -5.563
rxn_5653                29.824              38.890              -9.066
rxn_5748                25.474              47.174             -21.700
rxn_5756                31.627              46.089             -14.463
rxn_5854                30.320              39.980              -9.660
rxn_5956                37.731              55.858             -18.127
rxn_6105                37.452              43.894              -6.442
rxn_6178                37.708              54.910             -17.202
rxn_6180                27.722              33.989              -6.267
