#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  14.763              48.530             -33.767
rxn_53                  22.973              52.766             -29.793
rxn_83                  12.015              41.929             -29.914
rxn_216                 15.299              41.053             -25.754
rxn_310                 14.076              48.059             -33.983
rxn_365                 28.953              57.076             -28.123
rxn_632                 15.449              49.319             -33.870
rxn_721                 18.335              52.811             -34.476
rxn_745                 23.999              23.693               0.306
rxn_769                 26.986              25.358               1.628
rxn_853                 25.818              26.378              -0.560
rxn_1000                35.812              31.116               4.697
rxn_1011                36.443              29.047               7.396
rxn_1017                30.643              29.749               0.895
rxn_1093                27.397              28.641              -1.243
rxn_1248                27.831              27.242               0.589
rxn_1424                26.611              28.704              -2.094
rxn_1441                30.939              31.770              -0.832
rxn_1463                12.674              51.303             -38.629
rxn_1466                 9.336              50.396             -41.060
rxn_1469                10.863              52.710             -41.847
rxn_1479                20.655              54.987             -34.332
rxn_1480                13.795              48.700             -34.906
rxn_1495                11.450              53.248             -41.798
rxn_1536                13.516              40.955             -27.440
rxn_1606                16.733              45.012             -28.279
rxn_1708                16.222              42.957             -26.735
rxn_1779                14.765              41.011             -26.245
rxn_1886                20.880              48.154             -27.274
rxn_2260                11.698              51.141             -39.444
rxn_2270                11.898              48.062             -36.164
rxn_2310                18.018              49.502             -31.484
rxn_2326                22.225              50.036             -27.811
rxn_2334                14.406              50.131             -35.725
rxn_2468                22.276              48.038             -25.762
rxn_2482                13.824              49.170             -35.346
rxn_2517                20.133              48.863             -28.730
rxn_2530                15.161              50.110             -34.950
rxn_2672                12.392              50.202             -37.810
rxn_2720                 9.190              48.786             -39.596
rxn_2759                13.476              50.162             -36.686
rxn_2760                10.449              49.555             -39.107
rxn_2972                26.733              41.917             -15.184
rxn_3030                12.984              40.534             -27.550
rxn_3225                14.535              42.307             -27.773
rxn_3483                22.254              38.241             -15.987
rxn_3536                21.111              38.286             -17.175
rxn_3759                -5.664              23.823             -29.486
rxn_3781                -2.126              26.787             -28.913
rxn_4123                 6.213              35.215             -29.002
rxn_4581                24.871              41.129             -16.257
rxn_4652                -3.289              34.894             -38.182
rxn_4937                 8.087              27.594             -19.507
rxn_5047                 3.549              37.636             -34.088
rxn_5129                 0.602              33.534             -32.931
rxn_5245                32.173              33.225              -1.052
rxn_5345                33.236              36.957              -3.721
rxn_5374                32.208              35.418              -3.210
rxn_5506                30.982              34.639              -3.656
rxn_5581                29.318              44.070             -14.752
rxn_5582                22.202              31.623              -9.422
rxn_5616                26.294              35.424              -9.130
rxn_5653                27.522              38.717             -11.195
rxn_5748                23.242              47.055             -23.813
rxn_5756                28.892              45.535             -16.643
rxn_5854                27.138              39.505             -12.368
rxn_5956                36.859              56.636             -19.777
rxn_6105                34.681              43.821              -9.140
rxn_6178                35.571              53.857             -18.286
rxn_6180                24.318              34.100              -9.782
