,Name,B2K-PLYP-DFT-forward,B2K-PLYP-DFT-reverse,B2K-PLYP-DFT-reaction
0,rxn_33,12.926,49.889,-36.964
1,rxn_53,21.261,54.133,-32.873
2,rxn_83,10.341,43.217,-32.876
3,rxn_216,13.537,42.024,-28.487
4,rxn_310,12.463,49.487,-37.024
5,rxn_365,27.706,58.633,-30.927
6,rxn_632,13.521,50.448,-36.927
7,rxn_721,17.127,54.196,-37.069
8,rxn_745,22.596,24.654,-2.058
9,rxn_769,25.525,26.537,-1.012
10,rxn_853,24.353,27.301,-2.948
11,rxn_1000,34.322,32.22,2.102
12,rxn_1011,34.616,30.046,4.57
13,rxn_1017,28.932,30.783,-1.851
14,rxn_1093,25.624,29.75,-4.126
15,rxn_1248,26.11,28.257,-2.147
16,rxn_1424,24.937,29.814,-4.877
17,rxn_1441,29.54,32.895,-3.355
18,rxn_1463,11.25,51.855,-40.605
19,rxn_1466,7.97,50.896,-42.926
20,rxn_1469,9.388,53.314,-43.926
21,rxn_1479,19.007,55.822,-36.814
22,rxn_1480,11.864,49.177,-37.313
23,rxn_1495,9.785,53.864,-44.08
24,rxn_1536,12.261,42.229,-29.968
25,rxn_1606,15.49,46.258,-30.768
26,rxn_1708,14.968,44.323,-29.356
27,rxn_1779,13.481,42.315,-28.835
28,rxn_1886,19.595,49.522,-29.927
29,rxn_2260,9.933,52.348,-42.414
30,rxn_2270,9.954,49.035,-39.081
31,rxn_2310,16.925,51.167,-34.243
32,rxn_2326,20.594,51.164,-30.57
33,rxn_2334,12.818,51.279,-38.462
34,rxn_2468,20.701,49.187,-28.485
35,rxn_2482,12.196,50.251,-38.055
36,rxn_2517,18.62,50.125,-31.505
37,rxn_2530,13.479,51.285,-37.806
38,rxn_2672,10.648,51.248,-40.601
39,rxn_2720,7.32,49.751,-42.431
40,rxn_2759,11.47,51.242,-39.771
41,rxn_2760,8.671,50.544,-41.873
42,rxn_2972,25.422,43.482,-18.06
43,rxn_3030,11.618,42.04,-30.422
44,rxn_3225,13.291,43.677,-30.386
45,rxn_3483,20.724,39.603,-18.878
46,rxn_3536,19.848,39.901,-20.053
47,rxn_3759,-6.648,24.975,-31.623
48,rxn_3781,-2.906,28.133,-31.039
49,rxn_4123,5.513,36.595,-31.082
50,rxn_4581,23.758,43.431,-19.672
51,rxn_4652,-4.445,36.707,-41.151
52,rxn_4937,6.587,29.382,-22.796
53,rxn_5047,2.62,39.465,-36.844
54,rxn_5129,-0.726,35.412,-36.138
55,rxn_5245,32.748,33.46,-0.712
56,rxn_5345,33.749,37.233,-3.485
57,rxn_5374,32.785,35.619,-2.833
58,rxn_5506,31.47,34.917,-3.446
59,rxn_5581,29.984,45.094,-15.11
60,rxn_5582,23.176,33.122,-9.946
61,rxn_5616,27.0,36.891,-9.891
62,rxn_5653,28.267,40.007,-11.74
63,rxn_5748,24.04,48.32,-24.279
64,rxn_5756,29.653,46.725,-17.072
65,rxn_5854,27.765,40.673,-12.908
66,rxn_5956,38.061,58.117,-20.056
67,rxn_6105,35.424,45.19,-9.767
68,rxn_6178,36.618,55.254,-18.635
69,rxn_6180,24.791,35.314,-10.522
