#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  12.926              49.889             -36.964
rxn_53                  21.261              54.133             -32.873
rxn_83                  10.341              43.217             -32.876
rxn_216                 13.537              42.024             -28.487
rxn_310                 12.463              49.487             -37.024
rxn_365                 27.706              58.633             -30.927
rxn_632                 13.521              50.448             -36.927
rxn_721                 17.127              54.196             -37.069
rxn_745                 22.596              24.654              -2.058
rxn_769                 25.525              26.537              -1.012
rxn_853                 24.353              27.301              -2.948
rxn_1000                34.322              32.220               2.102
rxn_1011                34.616              30.046               4.570
rxn_1017                28.932              30.783              -1.851
rxn_1093                25.624              29.750              -4.126
rxn_1248                26.110              28.257              -2.147
rxn_1424                24.937              29.814              -4.877
rxn_1441                29.540              32.895              -3.355
rxn_1463                11.250              51.855             -40.605
rxn_1466                 7.970              50.896             -42.926
rxn_1469                 9.388              53.314             -43.926
rxn_1479                19.007              55.822             -36.814
rxn_1480                11.864              49.177             -37.313
rxn_1495                 9.785              53.864             -44.080
rxn_1536                12.261              42.229             -29.968
rxn_1606                15.490              46.258             -30.768
rxn_1708                14.968              44.323             -29.356
rxn_1779                13.481              42.315             -28.835
rxn_1886                19.595              49.522             -29.927
rxn_2260                 9.933              52.348             -42.414
rxn_2270                 9.954              49.035             -39.081
rxn_2310                16.925              51.167             -34.243
rxn_2326                20.594              51.164             -30.570
rxn_2334                12.818              51.279             -38.462
rxn_2468                20.701              49.187             -28.485
rxn_2482                12.196              50.251             -38.055
rxn_2517                18.620              50.125             -31.505
rxn_2530                13.479              51.285             -37.806
rxn_2672                10.648              51.248             -40.601
rxn_2720                 7.320              49.751             -42.431
rxn_2759                11.470              51.242             -39.771
rxn_2760                 8.671              50.544             -41.873
rxn_2972                25.422              43.482             -18.060
rxn_3030                11.618              42.040             -30.422
rxn_3225                13.291              43.677             -30.386
rxn_3483                20.724              39.603             -18.878
rxn_3536                19.848              39.901             -20.053
rxn_3759                -6.648              24.975             -31.623
rxn_3781                -2.906              28.133             -31.039
rxn_4123                 5.513              36.595             -31.082
rxn_4581                23.758              43.431             -19.672
rxn_4652                -4.445              36.707             -41.151
rxn_4937                 6.587              29.382             -22.796
rxn_5047                 2.620              39.465             -36.844
rxn_5129                -0.726              35.412             -36.138
rxn_5245                32.748              33.460              -0.712
rxn_5345                33.749              37.233              -3.485
rxn_5374                32.785              35.619              -2.833
rxn_5506                31.470              34.917              -3.446
rxn_5581                29.984              45.094             -15.110
rxn_5582                23.176              33.122              -9.946
rxn_5616                27.000              36.891              -9.891
rxn_5653                28.267              40.007             -11.740
rxn_5748                24.040              48.320             -24.279
rxn_5756                29.653              46.725             -17.072
rxn_5854                27.765              40.673             -12.908
rxn_5956                38.061              58.117             -20.056
rxn_6105                35.424              45.190              -9.767
rxn_6178                36.618              55.254             -18.635
rxn_6180                24.791              35.314             -10.522
