#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  17.755              45.992             -28.236
rxn_53                  25.746              50.215             -24.469
rxn_83                  14.712              39.486             -24.773
rxn_216                 18.204              39.201             -20.998
rxn_310                 16.690              45.399             -28.709
rxn_365                 30.912              54.192             -23.280
rxn_632                 18.578              47.160             -28.583
rxn_721                 20.235              50.219             -29.984
rxn_745                 26.258              21.871               4.387
rxn_769                 29.385              23.200               6.185
rxn_853                 28.182              24.629               3.553
rxn_1000                38.247              29.066               9.180
rxn_1011                39.443              27.180              12.263
rxn_1017                33.451              27.816               5.635
rxn_1093                30.318              26.587               3.731
rxn_1248                30.642              25.337               5.305
rxn_1424                29.371              26.656               2.716
rxn_1441                33.226              29.685               3.541
rxn_1463                14.913              50.205             -35.292
rxn_1466                11.462              49.389             -37.927
rxn_1469                13.173              51.515             -38.342
rxn_1479                23.252              53.416             -30.164
rxn_1480                16.847              47.719             -30.872
rxn_1495                14.081              52.041             -37.959
rxn_1536                15.485              38.583             -23.098
rxn_1606                18.701              42.703             -24.002
rxn_1708                18.193              40.433             -22.240
rxn_1779                16.792              38.588             -21.797
rxn_1886                22.917              45.636             -22.719
rxn_2260                14.561              48.905             -34.344
rxn_2270                15.079              46.231             -31.153
rxn_2310                19.850              46.612             -26.762
rxn_2326                24.850              47.945             -23.095
rxn_2334                16.961              47.988             -31.027
rxn_2468                24.802              45.915             -21.113
rxn_2482                16.461              47.160             -30.699
rxn_2517                22.603              46.589             -23.986
rxn_2530                17.874              47.928             -30.054
rxn_2672                15.219              48.244             -33.025
rxn_2720                12.232              46.980             -34.748
rxn_2759                16.759              48.155             -31.396
rxn_2760                13.335              47.709             -34.374
rxn_2972                28.921              39.126             -10.205
rxn_3030                15.222              37.783             -22.560
rxn_3225                16.615              39.821             -23.206
rxn_3483                24.803              35.785             -10.982
rxn_3536                23.206              35.365             -12.159
rxn_3759                -3.949              21.779             -25.728
rxn_3781                -0.784              24.396             -25.180
rxn_4123                 7.411              32.746             -25.335
rxn_4581                26.816              37.212             -10.396
rxn_4652                -1.273              31.759             -33.032
rxn_4937                10.640              24.510             -13.870
rxn_5047                 5.148              34.464             -29.316
rxn_5129                 2.902              30.269             -27.368
rxn_5245                31.001              32.636              -1.635
rxn_5345                32.161              36.304              -4.143
rxn_5374                31.044              34.880              -3.836
rxn_5506                29.960              33.983              -4.023
rxn_5581                28.105              42.244             -14.139
rxn_5582                20.507              29.046              -8.539
rxn_5616                25.046              32.887              -7.841
rxn_5653                26.190              36.454             -10.264
rxn_5748                21.800              44.816             -23.015
rxn_5756                27.554              43.433             -15.879
rxn_5854                25.982              37.416             -11.434
rxn_5956                34.786              54.065             -19.279
rxn_6105                33.373              41.440              -8.067
rxn_6178                33.722              51.395             -17.673
rxn_6180                23.443              31.954              -8.512
