,Name,B2T-PLYP-DFT-forward,B2T-PLYP-DFT-reverse,B2T-PLYP-DFT-reaction
0,rxn_33,16.552,47.995,-31.442
1,rxn_53,24.69,52.22,-27.53
2,rxn_83,13.699,41.452,-27.753
3,rxn_216,17.033,40.865,-23.832
4,rxn_310,15.672,47.474,-31.802
5,rxn_365,30.316,56.38,-26.064
6,rxn_632,17.329,48.961,-31.632
7,rxn_721,19.604,52.227,-32.623
8,rxn_745,25.328,23.329,1.999
9,rxn_769,28.402,24.854,3.548
10,rxn_853,27.189,26.039,1.149
11,rxn_1000,37.243,30.644,6.599
12,rxn_1011,38.168,28.66,9.509
13,rxn_1017,32.245,29.335,2.91
14,rxn_1093,29.031,28.172,0.858
15,rxn_1248,29.42,26.841,2.579
16,rxn_1424,28.154,28.237,-0.082
17,rxn_1441,32.292,31.291,1.0
18,rxn_1463,14.172,51.17,-36.998
19,rxn_1466,10.784,50.269,-39.485
20,rxn_1469,12.4,52.467,-40.068
21,rxn_1479,22.343,54.542,-32.199
22,rxn_1480,15.714,48.555,-32.841
23,rxn_1495,13.125,52.998,-39.873
24,rxn_1536,14.816,40.405,-25.589
25,rxn_1606,18.002,44.476,-26.474
26,rxn_1708,17.548,42.356,-24.808
27,rxn_1779,16.1,40.448,-24.348
28,rxn_1886,22.219,47.539,-25.32
29,rxn_2260,13.407,50.593,-37.185
30,rxn_2270,13.727,47.674,-33.947
31,rxn_2310,19.251,48.583,-29.331
32,rxn_2326,23.862,49.517,-25.655
33,rxn_2334,15.971,49.639,-33.668
34,rxn_2468,23.872,47.496,-23.625
35,rxn_2482,15.402,48.697,-33.295
36,rxn_2517,21.687,48.242,-26.555
37,rxn_2530,16.805,49.576,-32.771
38,rxn_2672,14.075,49.764,-35.689
39,rxn_2720,10.962,48.385,-37.422
40,rxn_2759,15.383,49.705,-34.322
41,rxn_2760,12.151,49.149,-36.997
42,rxn_2972,28.076,41.292,-13.216
43,rxn_3030,14.327,39.973,-25.646
44,rxn_3225,15.781,41.839,-26.058
45,rxn_3483,23.723,37.759,-14.036
46,rxn_3536,22.307,37.632,-15.325
47,rxn_3759,-5.029,23.241,-28.27
48,rxn_3781,-1.57,26.128,-27.698
49,rxn_4123,6.673,34.531,-27.858
50,rxn_4581,26.139,39.832,-13.693
51,rxn_4652,-2.1,33.924,-36.024
52,rxn_4937,9.628,26.679,-17.051
53,rxn_5047,4.599,36.677,-32.078
54,rxn_5129,1.947,32.594,-30.647
55,rxn_5245,32.167,33.441,-1.274
56,rxn_5345,33.257,37.128,-3.871
57,rxn_5374,32.155,35.689,-3.534
58,rxn_5506,31.027,34.807,-3.78
59,rxn_5581,29.296,43.75,-14.454
60,rxn_5582,21.901,30.846,-8.945
61,rxn_5616,26.191,34.691,-8.499
62,rxn_5653,27.394,38.155,-10.761
63,rxn_5748,23.094,46.546,-23.451
64,rxn_5756,28.766,45.09,-16.323
65,rxn_5854,27.112,39.052,-11.94
66,rxn_5956,36.406,55.966,-19.56
67,rxn_6105,34.596,43.205,-8.609
68,rxn_6178,35.285,53.317,-18.032
69,rxn_6180,24.401,33.573,-9.171
