#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  16.552              47.995             -31.442
rxn_53                  24.690              52.220             -27.530
rxn_83                  13.699              41.452             -27.753
rxn_216                 17.033              40.865             -23.832
rxn_310                 15.672              47.474             -31.802
rxn_365                 30.316              56.380             -26.064
rxn_632                 17.329              48.961             -31.632
rxn_721                 19.604              52.227             -32.623
rxn_745                 25.328              23.329               1.999
rxn_769                 28.402              24.854               3.548
rxn_853                 27.189              26.039               1.149
rxn_1000                37.243              30.644               6.599
rxn_1011                38.168              28.660               9.509
rxn_1017                32.245              29.335               2.910
rxn_1093                29.031              28.172               0.858
rxn_1248                29.420              26.841               2.579
rxn_1424                28.154              28.237              -0.082
rxn_1441                32.292              31.291               1.000
rxn_1463                14.172              51.170             -36.998
rxn_1466                10.784              50.269             -39.485
rxn_1469                12.400              52.467             -40.068
rxn_1479                22.343              54.542             -32.199
rxn_1480                15.714              48.555             -32.841
rxn_1495                13.125              52.998             -39.873
rxn_1536                14.816              40.405             -25.589
rxn_1606                18.002              44.476             -26.474
rxn_1708                17.548              42.356             -24.808
rxn_1779                16.100              40.448             -24.348
rxn_1886                22.219              47.539             -25.320
rxn_2260                13.407              50.593             -37.185
rxn_2270                13.727              47.674             -33.947
rxn_2310                19.251              48.583             -29.331
rxn_2326                23.862              49.517             -25.655
rxn_2334                15.971              49.639             -33.668
rxn_2468                23.872              47.496             -23.625
rxn_2482                15.402              48.697             -33.295
rxn_2517                21.687              48.242             -26.555
rxn_2530                16.805              49.576             -32.771
rxn_2672                14.075              49.764             -35.689
rxn_2720                10.962              48.385             -37.422
rxn_2759                15.383              49.705             -34.322
rxn_2760                12.151              49.149             -36.997
rxn_2972                28.076              41.292             -13.216
rxn_3030                14.327              39.973             -25.646
rxn_3225                15.781              41.839             -26.058
rxn_3483                23.723              37.759             -14.036
rxn_3536                22.307              37.632             -15.325
rxn_3759                -5.029              23.241             -28.270
rxn_3781                -1.570              26.128             -27.698
rxn_4123                 6.673              34.531             -27.858
rxn_4581                26.139              39.832             -13.693
rxn_4652                -2.100              33.924             -36.024
rxn_4937                 9.628              26.679             -17.051
rxn_5047                 4.599              36.677             -32.078
rxn_5129                 1.947              32.594             -30.647
rxn_5245                32.167              33.441              -1.274
rxn_5345                33.257              37.128              -3.871
rxn_5374                32.155              35.689              -3.534
rxn_5506                31.027              34.807              -3.780
rxn_5581                29.296              43.750             -14.454
rxn_5582                21.901              30.846              -8.945
rxn_5616                26.191              34.691              -8.499
rxn_5653                27.394              38.155             -10.761
rxn_5748                23.094              46.546             -23.451
rxn_5756                28.766              45.090             -16.323
rxn_5854                27.112              39.052             -11.940
rxn_5956                36.406              55.966             -19.560
rxn_6105                34.596              43.205              -8.609
rxn_6178                35.285              53.317             -18.032
rxn_6180                24.401              33.573              -9.171
