#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   9.492              41.843             -32.351
rxn_53                  18.166              46.374             -28.207
rxn_83                   7.176              35.482             -28.307
rxn_216                 11.134              33.194             -22.060
rxn_310                  9.908              41.215             -31.308
rxn_365                 23.796              51.120             -27.324
rxn_632                 10.549              42.741             -32.193
rxn_721                 14.095              46.402             -32.307
rxn_745                 22.989              19.834               3.155
rxn_769                 24.272              20.723               3.549
rxn_853                 25.245              23.068               2.177
rxn_1000                33.536              27.514               6.022
rxn_1011                33.736              26.103               7.633
rxn_1017                28.423              26.360               2.063
rxn_1093                25.065              25.359              -0.294
rxn_1248                25.862              23.908               1.954
rxn_1424                24.722              25.266              -0.544
rxn_1441                28.799              27.854               0.944
rxn_1463                10.454              49.597             -39.143
rxn_1466                 6.665              48.779             -42.114
rxn_1469                 6.084              48.918             -42.834
rxn_1479                15.241              52.423             -37.181
rxn_1480                 8.512              45.297             -36.785
rxn_1495                 6.052              49.598             -43.545
rxn_1536                10.381              34.681             -24.301
rxn_1606                13.542              38.644             -25.102
rxn_1708                12.959              36.759             -23.799
rxn_1779                12.138              35.086             -22.948
rxn_1886                17.114              42.317             -25.203
rxn_2260                 8.451              46.618             -38.168
rxn_2270                 8.478              43.120             -34.642
rxn_2310                13.523              44.310             -30.787
rxn_2326                18.802              45.935             -27.133
rxn_2334                12.142              45.481             -33.340
rxn_2468                19.010              43.527             -24.517
rxn_2482                11.567              44.411             -32.844
rxn_2517                16.282              44.377             -28.095
rxn_2530                12.679              45.907             -33.228
rxn_2672                 9.437              45.451             -36.014
rxn_2720                 4.802              44.282             -39.480
rxn_2759                 9.388              45.357             -35.969
rxn_2760                 6.294              44.854             -38.560
rxn_2972                22.808              36.672             -13.864
rxn_3030                11.516              36.236             -24.720
rxn_3225                11.454              36.935             -25.481
rxn_3483                18.682              32.393             -13.711
rxn_3536                18.915              33.168             -14.252
rxn_3759                -7.149              20.043             -27.192
rxn_3781                -3.246              22.833             -26.079
rxn_4123                 5.269              30.307             -25.037
rxn_4581                17.676              35.146             -17.470
rxn_4652                -7.274              29.236             -36.510
rxn_4937                 4.245              23.307             -19.062
rxn_5047                -0.241              31.653             -31.894
rxn_5129                -3.051              28.819             -31.870
rxn_5245                25.324              31.881              -6.557
rxn_5345                28.490              36.899              -8.409
rxn_5374                26.578              34.356              -7.778
rxn_5506                25.089              33.826              -8.737
rxn_5581                23.708              38.090             -14.382
rxn_5582                16.944              25.643              -8.699
rxn_5616                20.461              30.586             -10.125
rxn_5653                22.718              33.271             -10.553
rxn_5748                17.764              40.257             -22.493
rxn_5756                23.520              40.028             -16.508
rxn_5854                21.910              33.731             -11.821
rxn_5956                30.993              50.372             -19.379
rxn_6105                28.438              38.731             -10.293
rxn_6178                29.765              46.733             -16.968
rxn_6180                19.190              29.110              -9.921
