,Name,B3LYP_G-DFT-forward,B3LYP_G-DFT-reverse,B3LYP_G-DFT-reaction
0,rxn_33,29.476,44.844,-15.367
1,rxn_53,37.081,48.944,-11.864
2,rxn_83,25.7,38.412,-12.713
3,rxn_216,29.674,40.214,-10.54
4,rxn_310,27.07,43.883,-16.813
5,rxn_365,39.935,52.226,-12.291
6,rxn_632,30.925,46.852,-15.927
7,rxn_721,28.3,48.739,-20.439
8,rxn_745,34.404,20.718,13.686
9,rxn_769,38.53,21.329,17.201
10,rxn_853,36.626,23.635,12.991
11,rxn_1000,47.532,27.31,20.222
12,rxn_1011,50.622,26.082,24.54
13,rxn_1017,43.772,26.415,17.357
14,rxn_1093,40.644,24.952,15.692
15,rxn_1248,40.622,24.009,16.614
16,rxn_1424,39.002,25.021,13.98
17,rxn_1441,41.966,27.9,14.066
18,rxn_1463,25.39,49.786,-24.397
19,rxn_1466,21.547,48.924,-27.377
20,rxn_1469,23.824,50.056,-26.232
21,rxn_1479,35.003,50.624,-15.622
22,rxn_1480,29.962,46.732,-16.77
23,rxn_1495,25.588,50.585,-24.997
24,rxn_1536,23.586,36.994,-13.408
25,rxn_1606,26.657,41.365,-14.707
26,rxn_1708,26.627,38.669,-12.041
27,rxn_1779,25.227,37.014,-11.787
28,rxn_1886,31.533,43.916,-12.383
29,rxn_2260,25.787,47.144,-21.356
30,rxn_2270,26.919,45.378,-18.459
31,rxn_2310,28.931,43.144,-14.213
32,rxn_2326,35.718,46.351,-10.633
33,rxn_2334,27.228,46.764,-19.536
34,rxn_2468,35.394,44.1,-8.705
35,rxn_2482,26.704,45.841,-19.137
36,rxn_2517,33.234,44.552,-11.318
37,rxn_2530,28.679,46.294,-17.615
38,rxn_2672,26.174,47.187,-21.012
39,rxn_2720,23.602,46.092,-22.49
40,rxn_2759,29.421,47.14,-17.719
41,rxn_2760,24.283,46.853,-22.57
42,rxn_2972,38.126,38.273,-0.147
43,rxn_3030,23.816,36.886,-13.07
44,rxn_3225,24.982,39.726,-14.744
45,rxn_3483,34.448,35.516,-1.068
46,rxn_3536,30.798,34.011,-3.213
47,rxn_3759,-1.101,20.387,-21.488
48,rxn_3781,2.048,23.095,-21.046
49,rxn_4123,9.414,31.172,-21.757
50,rxn_4581,37.283,33.104,4.179
51,rxn_4652,7.335,28.373,-21.038
52,rxn_4937,21.527,21.536,-0.008
53,rxn_5047,12.989,31.106,-18.118
54,rxn_5129,12.501,27.389,-14.889
55,rxn_5245,32.177,35.254,-3.077
56,rxn_5345,33.363,38.598,-5.234
57,rxn_5374,31.616,37.896,-6.28
58,rxn_5506,31.367,36.171,-4.803
59,rxn_5581,30.608,42.548,-11.94
60,rxn_5582,21.548,26.465,-4.916
61,rxn_5616,27.016,30.479,-3.464
62,rxn_5653,27.874,35.246,-7.372
63,rxn_5748,23.386,43.819,-20.433
64,rxn_5756,29.479,42.956,-13.476
65,rxn_5854,28.201,36.643,-8.442
66,rxn_5956,35.117,52.579,-17.462
67,rxn_6105,35.833,40.136,-4.302
68,rxn_6178,34.982,50.94,-15.958
69,rxn_6180,26.512,30.716,-4.204
