#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  29.476              44.844             -15.367
rxn_53                  37.081              48.944             -11.864
rxn_83                  25.700              38.412             -12.713
rxn_216                 29.674              40.214             -10.540
rxn_310                 27.070              43.883             -16.813
rxn_365                 39.935              52.226             -12.291
rxn_632                 30.925              46.852             -15.927
rxn_721                 28.300              48.739             -20.439
rxn_745                 34.404              20.718              13.686
rxn_769                 38.530              21.329              17.201
rxn_853                 36.626              23.635              12.991
rxn_1000                47.532              27.310              20.222
rxn_1011                50.622              26.082              24.540
rxn_1017                43.772              26.415              17.357
rxn_1093                40.644              24.952              15.692
rxn_1248                40.622              24.009              16.614
rxn_1424                39.002              25.021              13.980
rxn_1441                41.966              27.900              14.066
rxn_1463                25.390              49.786             -24.397
rxn_1466                21.547              48.924             -27.377
rxn_1469                23.824              50.056             -26.232
rxn_1479                35.003              50.624             -15.622
rxn_1480                29.962              46.732             -16.770
rxn_1495                25.588              50.585             -24.997
rxn_1536                23.586              36.994             -13.408
rxn_1606                26.657              41.365             -14.707
rxn_1708                26.627              38.669             -12.041
rxn_1779                25.227              37.014             -11.787
rxn_1886                31.533              43.916             -12.383
rxn_2260                25.787              47.144             -21.356
rxn_2270                26.919              45.378             -18.459
rxn_2310                28.931              43.144             -14.213
rxn_2326                35.718              46.351             -10.633
rxn_2334                27.228              46.764             -19.536
rxn_2468                35.394              44.100              -8.705
rxn_2482                26.704              45.841             -19.137
rxn_2517                33.234              44.552             -11.318
rxn_2530                28.679              46.294             -17.615
rxn_2672                26.174              47.187             -21.012
rxn_2720                23.602              46.092             -22.490
rxn_2759                29.421              47.140             -17.719
rxn_2760                24.283              46.853             -22.570
rxn_2972                38.126              38.273              -0.147
rxn_3030                23.816              36.886             -13.070
rxn_3225                24.982              39.726             -14.744
rxn_3483                34.448              35.516              -1.068
rxn_3536                30.798              34.011              -3.213
rxn_3759                -1.101              20.387             -21.488
rxn_3781                 2.048              23.095             -21.046
rxn_4123                 9.414              31.172             -21.757
rxn_4581                37.283              33.104               4.179
rxn_4652                 7.335              28.373             -21.038
rxn_4937                21.527              21.536              -0.008
rxn_5047                12.989              31.106             -18.118
rxn_5129                12.501              27.389             -14.889
rxn_5245                32.177              35.254              -3.077
rxn_5345                33.363              38.598              -5.234
rxn_5374                31.616              37.896              -6.280
rxn_5506                31.367              36.171              -4.803
rxn_5581                30.608              42.548             -11.940
rxn_5582                21.548              26.465              -4.916
rxn_5616                27.016              30.479              -3.464
rxn_5653                27.874              35.246              -7.372
rxn_5748                23.386              43.819             -20.433
rxn_5756                29.479              42.956             -13.476
rxn_5854                28.201              36.643              -8.442
rxn_5956                35.117              52.579             -17.462
rxn_6105                35.833              40.136              -4.302
rxn_6178                34.982              50.940             -15.958
rxn_6180                26.512              30.716              -4.204
