;Type;prediction 4923
0;Diels-Alder;6.958398148297069
1;Diels-Alder;6.419274826459861
2;Diels-Alder;9.365533507784374
3;Diels-Alder;8.297079042075373
4;Diels-Alder;7.157170129976568
5;Diels-Alder;7.3184571124239515
6;Diels-Alder;6.956896238273615
7;Diels-Alder;6.671167200962189
8;Diels-Alder;7.363444541986057
9;Diels-Alder;7.17364647488834
10;Diels-Alder;6.817823220440098
11;Diels-Alder;6.609110571930472
12;Diels-Alder;6.772816101306015
13;Diels-Alder;6.9944228419418435
14;Diels-Alder;6.742296658070627
15;Diels-Alder;8.320046357192119
16;Diels-Alder;9.343678527955813
17;Diels-Alder;7.256752945722631
18;Diels-Alder;6.7020888588064516
19;Diels-Alder;6.718464498014951
20;Diels-Alder;7.570276635860285
21;Diels-Alder;6.8287484336039075
22;Diels-Alder;6.959514576269214
23;Diels-Alder;6.5668551982084855
24;Diels-Alder;6.752046950148076
25;Diels-Alder;6.969001237399475
26;Diels-Alder;6.862350341801436
27;Diels-Alder;7.045426071510571
28;Diels-Alder;7.169313662937456
29;Diels-Alder;6.679063901797384
30;Diels-Alder;7.097173217813283
31;Diels-Alder;6.945834900507086
32;Diels-Alder;7.203802836703674
34;Diels-Alder;7.063873034945793
35;Diels-Alder;7.0373830490584695
36;Diels-Alder;7.398956030810231
37;Diels-Alder;7.210030384874429
38;Diels-Alder;7.370714579544487
39;Diels-Alder;6.388189397254333
40;Diels-Alder;6.69878426932958
41;Diels-Alder;6.717619820298274
42;Diels-Alder;6.871857469336144
43;Diels-Alder;6.744895734859768
44;Diels-Alder;6.527376852122048
45;Diels-Alder;6.645051986097413
46;Diels-Alder;6.754369775597338
47;Diels-Alder;7.306149327296442
48;Diels-Alder;6.960694330206186
49;Diels-Alder;6.831056333615727
50;Diels-Alder;8.476225011027836
51;Diels-Alder;7.063873034945793
52;Diels-Alder;6.998839259027135
54;Diels-Alder;7.863391910550018
55;Diels-Alder;7.032189624479147
56;Diels-Alder;6.752618932766524
57;Diels-Alder;8.362747028401719
58;Diels-Alder;7.182056885500534
59;Diels-Alder;6.871614868361862
60;Diels-Alder;6.792407953547186
61;Diels-Alder;7.126357832115042
62;Diels-Alder;6.644207746624295
63;Diels-Alder;6.718155209541845
64;Diels-Alder;7.367341597177241
65;Diels-Alder;6.91164445840686
66;Diels-Alder;6.655320851346134
67;Diels-Alder;6.7846505321052515
68;Diels-Alder;6.783095005418332
69;Diels-Alder;7.68294042441424
70;Diels-Alder;6.903223073135352
71;Diels-Alder;6.920459487190229
72;Diels-Alder;7.22804258614284
73;Diels-Alder;6.721370195356046
74;Diels-Alder;6.7946369883863955
75;Diels-Alder;6.437755865003772
76;Diels-Alder;6.947926796625941
77;Diels-Alder;6.783628640591312
78;Diels-Alder;6.652249181283038
79;Diels-Alder;6.929037862500247
80;Diels-Alder;6.693273274402872
81;Diels-Alder;6.6874595028609445
82;Diels-Alder;7.721834648204046
84;Diels-Alder;6.892703680260862
85;Diels-Alder;6.9490436703074625
86;Diels-Alder;7.417365275534806
87;Diels-Alder;6.805427801777926
88;Diels-Alder;6.720645624126471
89;Diels-Alder;6.61570293182292
90;Diels-Alder;7.035190062448275
91;Diels-Alder;6.763009290279712
92;Diels-Alder;6.647990370080927
93;Diels-Alder;6.952925660278272
94;Diels-Alder;6.756297186077322
95;Diels-Alder;8.221812908615506
96;Diels-Alder;7.19581551058958
97;Diels-Alder;8.381374865229223
98;Diels-Alder;6.835784851792835
99;Diels-Alder;6.658804328464271
100;Diels-Alder;6.7237360864416775
101;Diels-Alder;7.145600379838329
102;Diels-Alder;6.908424282143103
103;Diels-Alder;6.928976760294935
104;Diels-Alder;7.441687673141504
105;Diels-Alder;6.924448945550253
106;Diels-Alder;6.753619654343842
107;Diels-Alder;6.658844254388841
108;Diels-Alder;6.729988940901826
109;Diels-Alder;6.712491832744002
110;Diels-Alder;6.7592533039266405
111;Diels-Alder;7.685724626436382
112;Diels-Alder;7.02815554012956
113;Diels-Alder;6.720424303734556
114;Diels-Alder;6.93205291501669
115;Diels-Alder;6.792088077520584
116;Diels-Alder;6.5251970801492565
117;Diels-Alder;7.377051139267688
118;Diels-Alder;6.739306126882519
119;Diels-Alder;6.6873600584513735
120;Diels-Alder;7.337919968632761
121;Diels-Alder;6.850520426709206
122;Diels-Alder;7.035684412474295
123;Diels-Alder;7.626707263732622
124;Diels-Alder;7.314642290025688
125;Diels-Alder;6.907408562325812
126;Diels-Alder;6.643826380708442
127;Diels-Alder;6.648212846994221
128;Diels-Alder;7.093186465917079
129;Diels-Alder;7.318128262047338
130;Diels-Alder;6.823622834313056
131;Diels-Alder;6.710152914138837
132;Diels-Alder;6.819271394991921
133;Diels-Alder;7.378650864580326
134;Diels-Alder;6.636831810736898
135;Diels-Alder;8.081561792610373
136;Diels-Alder;7.31321140622617
137;Diels-Alder;6.351164133148583
138;Diels-Alder;9.33859580326351
139;Diels-Alder;6.793259552319315
140;Diels-Alder;6.661898727675811
141;Diels-Alder;7.135507454768729
142;Diels-Alder;6.437755865003772
143;Diels-Alder;6.774780159257425
144;Diels-Alder;6.7632803131001165
145;Diels-Alder;6.746859376109017
146;Diels-Alder;7.377030325862281
147;Diels-Alder;7.203802836703674
148;Diels-Alder;7.333636218105843
149;Diels-Alder;6.849413019804315
150;Diels-Alder;6.694052663187844
151;Diels-Alder;6.5159010588797255
152;Diels-Alder;6.642407905327763
153;Diels-Alder;9.301151469641214
154;Diels-Alder;6.834085531048041
155;Diels-Alder;6.6421580499344115
156;Diels-Alder;6.806787845020015
157;Diels-Alder;6.837422726046981
158;Diels-Alder;8.504932100018237
159;Diels-Alder;7.372937395219376
160;Diels-Alder;7.954633563567235
161;Diels-Alder;7.051460280182614
162;Diels-Alder;8.053061644153306
163;Diels-Alder;6.594294180981897
164;Diels-Alder;6.696409263073097
165;Diels-Alder;6.797825322195839
166;Diels-Alder;6.838848925075804
167;Diels-Alder;9.185982438202444
168;Diels-Alder;6.841756247816873
169;Diels-Alder;7.344475525593578
170;Diels-Alder;7.024057390973299
171;Diels-Alder;7.401339331182282
172;Diels-Alder;7.304163406467099
173;Diels-Alder;6.684516756483218
174;Diels-Alder;6.6613284603139995
175;Diels-Alder;7.061518620300852
176;Diels-Alder;6.992656089435679
178;Diels-Alder;6.877316716231741
179;Diels-Alder;6.680620689272711
180;Diels-Alder;7.233029150435639
181;Diels-Alder;7.420712058797496
182;Diels-Alder;6.65209073501217
183;Diels-Alder;6.68109386797199
184;Diels-Alder;6.7647230180807405
185;Diels-Alder;8.000394857787194
186;Diels-Alder;6.780451606154443
187;Diels-Alder;6.801060599250596
188;Diels-Alder;7.404210701289214
189;Diels-Alder;6.87849121199458
190;Diels-Alder;7.402704989180551
191;Diels-Alder;6.672163857944234
192;Diels-Alder;7.96835810532392
193;Diels-Alder;7.102977286800276
194;Diels-Alder;6.869769096000552
