;Name;Type;wb97m-v-DFT-forward;REF-forward;wb97m-v-DELTA-forward;wb97m-v-DFT-reverse;REF-reverse;wb97m-v-DELTA-reverse;wb97m-v-DFT-reaction;REF-reaction;wb97m-v-DELTA-reaction;cam-b3lyp-DFT-forward;cam-b3lyp-DELTA-forward;cam-b3lyp-DFT-reverse;cam-b3lyp-DELTA-reverse;cam-b3lyp-DFT-reaction;cam-b3lyp-DELTA-reaction;wb97x-DFT-forward;wb97x-DELTA-forward;wb97x-DFT-reverse;wb97x-DELTA-reverse;wb97x-DFT-reaction;wb97x-DELTA-reaction;b97m-v-DFT-forward;b97m-v-DELTA-forward;b97m-v-DFT-reverse;b97m-v-DELTA-reverse;b97m-v-DFT-reaction;b97m-v-DELTA-reaction;b2k-plyp-DFT-forward;b2k-plyp-DELTA-forward;b2k-plyp-DFT-reverse;b2k-plyp-DELTA-reverse;b2k-plyp-DFT-reaction;b2k-plyp-DELTA-reaction;rsx-0dh-DFT-forward;rsx-0dh-DELTA-forward;rsx-0dh-DFT-reverse;rsx-0dh-DELTA-reverse;rsx-0dh-DFT-reaction;rsx-0dh-DELTA-reaction;blyp-DFT-forward;blyp-DELTA-forward;blyp-DFT-reverse;blyp-DELTA-reverse;blyp-DFT-reaction;blyp-DELTA-reaction;pbe0-DFT-forward;pbe0-DELTA-forward;pbe0-DFT-reverse;pbe0-DELTA-reverse;pbe0-DFT-reaction;pbe0-DELTA-reaction;wb2-plyp18-DFT-forward;wb2-plyp18-DELTA-forward;wb2-plyp18-DFT-reverse;wb2-plyp18-DELTA-reverse;wb2-plyp18-DFT-reaction;wb2-plyp18-DELTA-reaction;b3lyp-DFT-forward;b3lyp-DELTA-forward;b3lyp-DFT-reverse;b3lyp-DELTA-reverse;b3lyp-DFT-reaction;b3lyp-DELTA-reaction;rsx-qidh-DFT-forward;rsx-qidh-DELTA-forward;rsx-qidh-DFT-reverse;rsx-qidh-DELTA-reverse;rsx-qidh-DFT-reaction;rsx-qidh-DELTA-reaction;m06l-DFT-forward;m06l-DELTA-forward;m06l-DFT-reverse;m06l-DELTA-reverse;m06l-DFT-reaction;m06l-DELTA-reaction;m062x-DFT-forward;m062x-DELTA-forward;m062x-DFT-reverse;m062x-DELTA-reverse;m062x-DFT-reaction;m062x-DELTA-reaction;bhandhlyp-DFT-forward;bhandhlyp-DELTA-forward;bhandhlyp-DFT-reverse;bhandhlyp-DELTA-reverse;bhandhlyp-DFT-reaction;bhandhlyp-DELTA-reaction;wb2-plyp-DFT-forward;wb2-plyp-DELTA-forward;wb2-plyp-DFT-reverse;wb2-plyp-DELTA-reverse;wb2-plyp-DFT-reaction;wb2-plyp-DELTA-reaction;pbe0-dh-DFT-forward;pbe0-dh-DELTA-forward;pbe0-dh-DFT-reverse;pbe0-dh-DELTA-reverse;pbe0-dh-DFT-reaction;pbe0-dh-DELTA-reaction;wb97x-v-DFT-forward;wb97x-v-DELTA-forward;wb97x-v-DFT-reverse;wb97x-v-DELTA-reverse;wb97x-v-DFT-reaction;wb97x-v-DELTA-reaction;pbe-qidh-DFT-forward;pbe-qidh-DELTA-forward;pbe-qidh-DFT-reverse;pbe-qidh-DELTA-reverse;pbe-qidh-DFT-reaction;pbe-qidh-DELTA-reaction;m06-DFT-forward;m06-DELTA-forward;m06-DFT-reverse;m06-DELTA-reverse;m06-DFT-reaction;m06-DELTA-reaction;b2-plyp-DFT-forward;b2-plyp-DELTA-forward;b2-plyp-DFT-reverse;b2-plyp-DELTA-reverse;b2-plyp-DFT-reaction;b2-plyp-DELTA-reaction;Range_DFT_forward;Std_DFT_forward;Range_DFT_reverse;Std_DFT_reverse;Range_DFT_reaction;Std_DFT_reaction;rxn_smiles
0;02_1;Diels-Alder;6.726;8.1;-1.374;44.769;43.77;0.999;-38.043;-35.66;-2.383;19.416;11.316;43.705;-0.065;-24.289;11.371;15.419;7.319;49.601;5.831;-34.182;1.478;3.699;-4.401;33.697;-10.073;-29.998;5.662;7.185;-0.915;38.313;-5.457;-31.128;4.532;7.654;-0.446;57.955;14.185;-50.301;-14.641;21.308;13.208;23.92;-19.85;-2.611;33.049;11.619;3.519;40.114;-3.656;-28.495;7.165;2.369;-5.731;41.401;-2.369;-39.031;-3.371;21.102;13.002;33.49;-10.28;-12.388;23.272;2.935;-5.165;51.568;7.798;-48.633;-12.973;6.968;-1.132;29.737;-14.033;-22.769;12.891;7.405;-0.695;40.423;-3.347;-33.018;2.642;23.916;15.816;46.526;2.756;-22.61;13.05;6.827;-1.273;47.386;3.616;-40.559;-4.899;9.033;0.933;44.473;0.703;-35.441;0.219;8.226;0.126;49.621;5.851;-41.395;-5.735;4.298;-3.802;43.885;0.115;-39.588;-3.928;8.107;0.007;37.402;-6.368;-29.295;6.365;10.995;2.895;34.508;-9.262;-23.513;12.147;21.547;6.501950656898038;34.035;8.094115283405134;47.690000000000005;11.479454678387729;O=C1C=CC(=O)c2c(O)cccc21.C/C=C(C)/C=C/OC>>CO[C@@H]1C=C(C)[C@H](C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
1;02_2;Diels-Alder;7.51;8.85;-1.34;44.406;43.49;0.916;-36.896;-34.63;-2.266;20.709;11.859;43.84;0.35;-23.13;11.5;16.624;7.774;49.658;6.168;-33.033;1.597;5.025;-3.825;33.793;-9.697;-28.768;5.862;8.174;-0.676;38.206;-5.284;-30.032;4.598;8.556;-0.294;57.578;14.088;-49.022;-14.392;22.959;14.109;24.453;-19.037;-1.494;33.136;12.91;4.06;40.206;-3.284;-27.297;7.333;3.323;-5.527;41.155;-2.335;-37.831;-3.201;22.622;13.772;33.896;-9.594;-11.274;23.356;3.737;-5.113;51.14;7.65;-47.404;-12.774;8.662;-0.188;30.109;-13.381;-21.447;13.183;8.172;-0.678;40.016;-3.474;-31.843;2.787;25.287;16.437;46.797;3.307;-21.511;13.119;7.761;-1.089;47.12;3.63;-39.36;-4.73;10.162;1.312;44.408;0.918;-34.246;0.384;9.033;0.183;49.275;5.785;-40.242;-5.612;5.244;-3.606;43.66;0.17;-38.415;-3.785;9.573;0.723;37.63;-5.86;-28.057;6.573;12.198;3.348;34.598;-8.892;-22.399;12.231;21.964;6.676787649248544;33.125;7.880575176710738;47.528;11.454530932871291;O=C1C=CC(=O)c2c(O)cccc21.C/C=C(C)/C=C/OC>>CO[C@@H]1C=C(C)[C@H](C)[C@@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]21
2;02_3;Diels-Alder;10.22;11.45;-1.23;49.196;47.83;1.366;-38.977;-36.38;-2.597;22.552;11.102;48.761;0.931;-26.208;10.172;18.248;6.798;54.477;6.647;-36.228;0.152;5.564;-5.886;36.62;-11.21;-31.055;5.325;10.418;-1.032;43.041;-4.789;-32.623;3.757;11.188;-0.262;63.005;15.175;-51.817;-15.437;22.997;11.547;29.21;-18.62;-6.213;30.167;13.841;2.391;45.713;-2.117;-31.873;4.507;5.561;-5.889;45.437;-2.393;-39.875;-3.495;23.469;12.019;38.864;-8.966;-15.395;20.985;6.461;-4.989;56.436;8.606;-49.975;-13.595;8.018;-3.432;32.427;-15.403;-24.409;11.971;11.335;-0.115;46.196;-1.634;-34.861;1.519;27.139;15.689;51.661;3.831;-24.522;11.858;10.373;-1.077;51.631;3.801;-41.257;-4.877;11.707;0.257;49.775;1.945;-38.068;-1.688;11.421;-0.029;54.072;6.242;-42.65;-6.27;7.323;-4.127;48.941;1.111;-41.618;-5.238;9.615;-1.835;41.314;-6.516;-31.7;4.68;13.722;2.272;39.227;-8.603;-25.505;10.875;21.578;6.418757515446838;33.795;8.334614073091114;45.604;10.958163116695484;C=C(OC)/C(C)=C/C.O=C1C=CC(=O)c2c(O)cccc21>>COC1=C(C)[C@H](C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2C1
3;02_4;Diels-Alder;8.552;10.15;-1.598;48.104;47.06;1.044;-39.553;-36.92;-2.633;20.749;10.599;47.992;0.932;-27.243;9.677;16.405;6.255;53.349;6.289;-36.943;-0.023;3.969;-6.181;36.0;-11.06;-32.031;4.889;8.947;-1.203;42.356;-4.704;-33.409;3.511;9.501;-0.649;62.284;15.224;-52.783;-15.863;21.262;11.112;28.922;-18.138;-7.66;29.26;12.242;2.092;45.344;-1.716;-33.102;3.818;4.028;-6.122;44.823;-2.237;-40.795;-3.875;21.726;11.576;38.323;-8.737;-16.597;20.323;4.95;-5.2;55.798;8.738;-50.848;-13.928;6.346;-3.804;31.835;-15.225;-25.489;11.431;9.486;-0.664;44.877;-2.183;-35.391;1.529;25.305;15.155;50.695;3.635;-25.39;11.53;8.729;-1.421;50.824;3.764;-42.095;-5.175;10.14;-0.01;49.245;2.185;-39.105;-2.185;9.645;-0.505;52.884;5.824;-43.239;-6.319;5.865;-4.285;48.372;1.312;-42.507;-5.587;8.025;-2.125;40.331;-6.729;-32.305;4.615;12.16;2.01;38.627;-8.433;-26.467;10.453;21.336;6.336663869061834;33.361999999999995;8.215724184853027;45.123000000000005;10.82560488354978;O=C1C=CC(=O)c2c(O)cccc21.C=C(OC)/C(C)=C/C>>COC1=C(C)[C@H](C)[C@@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]2C1
4;02_5;Diels-Alder;27.414;26.57;0.844;95.022;93.72;1.302;-67.608;-67.15;-0.458;28.789;2.219;96.819;3.099;-68.029;-0.879;31.456;4.886;100.388;6.668;-68.933;-1.783;23.743;-2.827;93.407;-0.313;-69.663;-2.513;24.354;-2.216;93.366;-0.354;-69.012;-1.862;25.638;-0.932;113.066;19.346;-87.428;-20.278;22.428;-4.142;80.466;-13.254;-58.038;9.112;21.697;-4.873;99.1;5.38;-77.404;-10.254;23.027;-3.543;96.788;3.068;-73.76;-6.61;25.958;-0.612;89.912;-3.808;-63.954;3.196;23.462;-3.108;107.359;13.639;-83.897;-16.747;26.078;-0.492;90.275;-3.445;-64.197;2.953;28.09;1.52;93.784;0.064;-65.694;1.456;32.452;5.882;101.249;7.529;-68.798;-1.648;26.343;-0.227;100.774;7.054;-74.43;-7.28;23.107;-3.463;102.329;8.609;-79.222;-12.072;28.32;1.75;99.932;6.212;-71.612;-4.462;22.351;-4.219;100.932;7.212;-78.581;-11.431;26.078;-0.492;90.275;-3.445;-64.197;2.953;24.026;-2.544;89.776;-3.944;-65.75;1.4;10.755;2.989286598134992;32.60000000000001;7.150725413881925;29.39;7.338369174020242;[H]/N=C1/CCCC1=C=CCCC#C>>C1=C2CCC=C2C2=C(CCC2)N1
5;02_6;Diels-Alder;28.336;26.77;1.566;64.154;62.05;2.104;-35.818;-35.27;-0.548;29.765;2.995;65.348;3.298;-35.583;-0.313;31.955;5.185;69.061;7.011;-37.105;-1.835;23.071;-3.699;60.769;-1.281;-37.699;-2.429;24.436;-2.334;59.927;-2.123;-35.491;-0.221;25.952;-0.818;79.861;17.811;-53.909;-18.639;23.344;-3.426;49.316;-12.734;-25.972;9.298;22.049;-4.721;66.154;4.104;-44.105;-8.835;23.296;-3.474;63.818;1.768;-40.521;-5.251;26.84;0.07;58.165;-3.885;-31.325;3.945;23.438;-3.332;73.533;11.483;-50.095;-14.825;25.239;-1.531;57.394;-4.656;-32.155;3.115;29.567;2.797;62.413;0.363;-32.846;2.424;33.44;6.67;69.515;7.465;-36.075;-0.805;26.806;0.036;68.141;6.091;-41.334;-6.064;23.254;-3.516;68.896;6.846;-45.642;-10.372;28.849;2.079;68.77;6.72;-39.921;-4.651;22.23;-4.54;66.95;4.9;-44.72;-9.45;27.784;1.014;60.644;-1.406;-32.86;2.41;24.327;-2.443;56.931;-5.119;-32.604;2.666;11.390999999999998;3.3065629141546897;30.545;6.71561536938155;27.937;6.83140435589083;C=C1CCCC1=C=CCCC#N>>C1=C2C(=NCC3=C2CCC3)CC1
6;02_7;Diels-Alder;20.378;19.07;1.308;42.714;39.4;3.314;-22.335;-20.32;-2.015;26.466;7.396;39.266;-0.134;-12.8;7.52;26.444;7.374;46.795;7.395;-20.352;-0.032;12.222;-6.848;23.51;-15.89;-11.287;9.033;15.694;-3.376;31.973;-7.427;-16.279;4.041;19.618;0.548;56.163;16.763;-36.544;-16.224;21.515;2.445;16.011;-23.389;5.504;25.824;17.06;-2.01;34.462;-4.938;-17.402;2.918;14.468;-4.602;36.298;-3.102;-21.83;-1.51;23.805;4.735;26.353;-13.047;-2.549;17.771;14.861;-4.209;48.324;8.924;-33.463;-13.143;11.848;-7.222;18.371;-21.029;-6.523;13.797;19.207;0.137;35.84;-3.56;-16.633;3.687;29.966;10.896;40.49;1.09;-10.524;9.796;19.231;0.161;43.455;4.055;-24.223;-3.903;16.613;-2.457;39.431;0.031;-22.818;-2.498;21.807;2.737;47.674;8.274;-25.867;-5.547;13.471;-5.599;38.778;-0.622;-25.307;-4.987;14.733;-4.337;29.184;-10.216;-14.451;5.869;17.352;-1.718;27.827;-11.573;-10.475;9.845;18.118;5.011557867622234;40.152;10.395204797734488;42.048;10.039173607738626;CC[C@H]1CCC[C@H](O)[C@@H](C)C(=O)/C=C/C=C/C[C@H](O)C/C=C/C=C/C=C/C(=O)O1>>CC[C@H]1CCC[C@H](O)[C@@H](C)C(=O)/C=C/[C@H]2[C@@H]3C[C@H](O)C[C@H]3C=C[C@H]2/C=C/C(=O)O1
7;02_8;Diels-Alder;12.409;12.2;0.209;37.429;36.77;0.659;-25.02;-24.57;-0.45;16.793;4.593;32.345;-4.425;-15.552;9.018;17.776;5.576;39.229;2.459;-21.453;3.117;8.374;-3.826;25.777;-10.993;-17.403;7.167;9.72;-2.48;30.598;-6.172;-20.878;3.692;8.554;-3.646;49.362;12.592;-40.808;-16.238;14.912;2.712;13.619;-23.151;1.294;25.864;9.553;-2.647;31.142;-5.628;-21.588;2.982;7.841;-4.359;34.277;-2.493;-26.436;-1.866;15.918;3.718;22.079;-14.691;-6.16;18.41;6.191;-6.009;44.529;7.759;-38.338;-13.768;10.417;-1.783;21.936;-14.834;-11.518;13.052;11.925;-0.275;32.88;-3.89;-20.955;3.615;19.411;7.211;32.693;-4.077;-13.282;11.288;10.799;-1.401;39.069;2.299;-28.27;-3.7;8.715;-3.485;35.873;-0.897;-27.158;-2.588;13.436;1.236;41.488;4.718;-28.052;-3.482;6.628;-5.572;36.787;0.017;-30.158;-5.588;11.64;-0.56;29.992;-6.778;-18.352;6.218;11.112;-1.088;25.968;-10.802;-14.856;9.714;13.220000000000002;3.7415775817160335;35.743;8.364894049726983;42.102;10.04331925775328;C/C=C/C=C/CCC[C@@H](C)/C=C1/C(=O)NC=C(c2ccccc2)C1=O>>C[C@@H]1CCC[C@H]2C=C[C@@H](C)[C@]3(C(=O)NC=C(c4ccccc4)C3=O)[C@@H]12
8;02_9;Diels-Alder;18.079;17.83;0.249;50.103;47.85;2.253;-32.024;-30.02;-2.004;25.355;7.525;45.504;-2.346;-20.149;9.871;24.859;7.029;53.529;5.679;-28.67;1.35;14.012;-3.818;38.211;-9.639;-24.199;5.821;15.998;-1.832;41.842;-6.008;-25.844;4.176;16.431;-1.399;62.963;15.113;-46.531;-16.511;23.142;5.312;24.237;-23.613;-1.096;28.924;17.308;-0.522;43.254;-4.596;-25.947;4.073;13.9;-3.93;46.412;-1.438;-32.512;-2.492;24.571;6.741;34.198;-13.652;-9.627;20.393;12.846;-4.984;56.934;9.084;-44.088;-14.068;14.725;-3.105;34.628;-13.222;-19.903;10.117;17.17;-0.66;45.813;-2.037;-28.643;1.377;29.138;11.308;47.081;-0.769;-17.944;12.076;17.6;-0.23;51.82;3.97;-34.22;-4.2;16.259;-1.571;48.296;0.446;-32.037;-2.017;19.535;1.705;54.66;6.81;-35.125;-5.105;13.136;-4.694;48.48;0.63;-35.344;-5.324;16.901;-0.929;42.565;-5.285;-25.664;4.356;18.104;0.274;37.3;-10.55;-19.196;10.824;16.292;4.581280509053292;38.726;8.916410119608262;45.435;10.69373437936046;C/C=C(C)/C=C/C=C/C[C@@H](C)C[C@@H](C)/C=C/C(C)=O>>C/C=C(\C)[C@H]1C=C[C@H]2C[C@@H](C)C[C@@H](C)[C@@H]2[C@H]1C(C)=O
9;02_10;Diels-Alder;19.502;19.75;-0.248;53.281;50.92;2.361;-33.778;-31.17;-2.608;29.184;9.434;48.347;-2.573;-19.163;12.007;26.939;7.189;56.303;5.383;-29.364;1.806;16.975;-2.775;41.559;-9.361;-24.584;6.586;19.019;-0.731;44.958;-5.962;-25.94;5.23;19.252;-0.498;66.484;15.564;-47.232;-16.062;28.895;9.145;26.789;-24.131;2.106;33.276;21.414;1.664;46.21;-4.71;-24.796;6.374;15.872;-3.878;49.527;-1.393;-33.655;-2.485;29.562;9.812;36.886;-14.034;-7.324;23.846;15.364;-4.386;60.458;9.538;-45.094;-13.924;17.843;-1.907;38.182;-12.738;-20.339;10.831;19.498;-0.252;48.361;-2.559;-28.863;2.307;33.255;13.505;49.837;-1.083;-16.582;14.588;19.774;0.024;54.999;4.079;-35.225;-4.055;19.774;0.024;51.426;0.506;-31.652;-0.482;20.92;1.17;57.815;6.895;-36.896;-5.726;16.109;-3.641;51.774;0.854;-35.665;-4.495;19.209;-0.541;45.148;-5.772;-25.939;5.231;21.786;2.036;40.23;-10.69;-18.444;12.726;17.891000000000002;5.178730479465732;39.69499999999999;9.059867293671989;49.338;11.771895963536029;C/C=C(C)/C=C/C=C/C[C@@H](C)C[C@@H](C)/C=C/C(C)=O>>C/C=C(\C)[C@@H]1C=C[C@@H]2C[C@@H](C)C[C@@H](C)[C@@H]2[C@H]1C(C)=O
