,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
0,rxn_33,11.027,56.985,-45.958,26.932,55.317,-28.386,21.634,62.059,-40.425,10.15,45.835,-35.685,12.926,49.889,-36.964,14.299,70.972,-56.672,30.678,34.811,-4.133,19.839,52.347,-32.508,7.914,53.001,-45.087,29.718,44.741,-15.022,8.767,64.231,-55.464,14.431,42.737,-28.306,12.371,52.259,-39.888,31.585,57.864,-26.28,12.349,59.194,-46.846,16.311,56.893,-40.582,12.73,62.076,-49.346,10.502,56.263,-45.761,14.709,50.393,-35.684,17.755,45.992,-28.236,23.671,7.477708636340414,36.160999999999994,8.383312977042705,52.538999999999994,12.897611338518217
1,rxn_53,19.41,60.659,-41.248,34.926,59.395,-24.47,29.56,65.798,-36.238,18.865,50.089,-31.225,21.261,54.133,-32.873,22.158,74.393,-52.234,37.707,38.983,-1.276,27.149,56.0,-28.85,16.666,57.654,-40.987,37.308,48.833,-11.524,16.885,67.951,-51.066,23.101,47.292,-24.191,20.496,55.597,-35.1,39.94,61.925,-21.985,21.045,63.585,-42.541,23.964,60.533,-36.569,21.017,65.597,-44.58,18.437,60.04,-41.603,23.351,54.223,-30.872,25.746,50.215,-24.469,23.273999999999997,7.215179506101227,35.410000000000004,8.184031266821735,50.958,12.544816390068302
2,rxn_83,9.309,50.102,-40.792,23.737,48.589,-24.852,19.373,55.181,-35.808,6.878,38.554,-31.676,10.341,43.217,-32.876,10.877,61.824,-50.947,26.285,28.56,-2.274,15.718,44.239,-28.52,5.002,45.738,-40.736,25.949,38.331,-12.382,5.67,55.574,-49.904,10.378,34.474,-24.096,10.151,44.487,-34.336,28.845,51.775,-22.93,9.708,51.918,-42.21,12.766,48.786,-36.02,11.099,55.262,-44.164,7.404,48.265,-40.861,11.871,42.496,-30.625,14.712,39.486,-24.773,23.843,7.222026223006218,33.263999999999996,8.058182934135957,48.673,11.977225783258739
3,rxn_216,11.673,46.547,-34.875,27.282,49.034,-21.752,21.883,53.319,-31.436,9.687,36.375,-26.688,13.537,42.024,-28.487,13.223,59.133,-45.909,31.028,31.273,-0.245,19.072,43.864,-24.792,8.56,43.52,-34.96,29.915,40.166,-10.251,8.238,52.6,-44.362,13.518,32.137,-18.62,13.174,43.496,-30.322,31.698,52.942,-21.244,12.852,49.791,-36.939,15.578,47.463,-31.885,13.167,51.348,-38.181,10.133,46.109,-35.977,14.078,40.287,-26.209,18.204,39.201,-20.998,23.46,7.563082830085682,27.860000000000003,7.258614370271766,45.664,10.967177881008597
4,rxn_310,11.734,56.997,-45.263,25.128,54.813,-29.685,20.95,61.913,-40.962,10.675,46.07,-35.396,12.463,49.487,-37.024,13.169,71.075,-57.906,27.887,33.731,-5.844,17.856,51.732,-33.876,7.933,53.141,-45.208,27.297,43.773,-16.476,8.266,64.288,-56.022,14.426,42.8,-28.374,12.166,52.136,-39.97,29.474,57.188,-27.713,12.126,59.347,-47.221,14.867,56.457,-41.59,13.311,61.955,-48.644,9.793,55.97,-46.177,14.744,50.332,-35.588,16.69,45.399,-28.709,21.541,6.629058962151734,37.344,8.57174301257826,52.062,12.545999745777639
5,rxn_365,27.022,65.834,-38.813,39.459,63.318,-23.859,35.454,70.669,-35.214,25.002,55.82,-30.818,27.706,58.633,-30.927,29.123,81.304,-52.181,39.129,41.534,-2.405,31.06,61.366,-30.306,23.242,63.416,-40.174,40.159,52.071,-11.911,24.292,74.601,-50.309,27.918,54.086,-26.169,27.259,62.236,-34.977,44.525,65.485,-20.96,28.063,69.081,-41.018,29.335,66.199,-36.865,28.719,70.737,-42.017,24.995,65.841,-40.846,28.408,59.914,-31.506,30.912,54.192,-23.28,21.282999999999998,5.961067732863758,39.77,8.82001452006801,49.775999999999996,12.010419769494888
6,rxn_632,11.736,56.379,-44.642,28.441,56.546,-28.105,22.774,62.079,-39.306,9.839,46.341,-36.502,13.521,50.448,-36.927,14.76,69.903,-55.143,32.043,37.467,-5.424,20.619,52.777,-32.158,8.473,53.306,-44.833,31.174,46.762,-15.588,8.986,63.293,-54.307,14.166,42.997,-28.831,12.601,51.002,-38.4,33.201,59.486,-26.285,13.082,59.303,-46.222,16.893,56.881,-39.988,13.439,61.466,-48.027,10.801,55.921,-45.12,14.937,49.887,-34.95,18.578,47.16,-28.583,24.728,7.932540998616827,32.43600000000001,7.730147827278529,49.719,12.239894321331718
7,rxn_721,17.062,60.627,-43.565,27.622,59.156,-31.534,24.58,66.211,-41.631,15.924,50.779,-34.856,17.127,54.196,-37.069,17.593,75.596,-58.003,27.966,38.697,-10.731,19.943,57.112,-37.169,13.417,58.166,-44.749,28.497,48.609,-20.111,13.487,69.032,-55.545,18.699,48.095,-29.396,17.175,56.565,-39.39,32.012,61.331,-29.319,17.416,63.869,-46.453,18.239,61.559,-43.32,18.568,65.84,-47.271,14.346,60.981,-46.635,19.445,54.933,-35.488,20.235,50.219,-29.984,18.595,5.320661615715414,36.899,8.378425993837418,47.272,11.230659330483158
8,rxn_745,21.542,29.859,-8.317,32.362,28.241,4.121,28.535,33.509,-4.974,21.949,22.625,-0.677,22.596,24.654,-2.058,19.362,39.366,-20.004,35.383,13.402,21.981,24.609,26.026,-1.416,18.718,27.23,-8.511,34.601,20.636,13.964,16.443,34.67,-18.227,25.676,19.862,5.814,22.417,25.458,-3.041,35.965,30.644,5.321,21.61,31.398,-9.789,22.189,29.495,-7.306,22.079,33.558,-11.479,18.516,29.055,-10.539,24.232,24.153,0.079,26.258,21.871,4.387,19.522000000000002,5.788482874594489,25.964,6.01343224876828,41.985,10.14331725285694
9,rxn_769,24.382,32.347,-7.965,36.59,29.651,6.938,32.111,34.99,-2.879,21.957,22.91,-0.953,25.525,26.537,-1.012,23.428,41.187,-17.759,39.691,13.666,26.025,28.735,26.562,2.173,20.85,28.966,-8.116,38.763,21.262,17.501,19.807,36.649,-16.842,24.82,17.511,7.31,25.56,27.502,-1.942,40.133,32.096,8.037,24.469,33.552,-9.083,25.977,30.578,-4.6,25.076,36.008,-10.932,21.804,30.632,-8.828,25.91,25.392,0.518,29.385,23.2,6.185,20.326000000000004,6.367821186287059,27.520999999999997,6.728731286529118,43.784,10.81732452863899
