#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  13.217              54.653             -41.436
rxn_53                  21.046              58.260             -37.214
rxn_83                  10.376              47.049             -36.673
rxn_216                 12.935              45.179             -32.244
rxn_310                 12.592              54.474             -41.882
rxn_365                 27.793              63.683             -35.890
rxn_632                 13.405              54.446             -41.041
rxn_721                 17.205              58.999             -41.794
rxn_745                 21.175              27.828              -6.653
rxn_769                 24.464              29.771              -5.306
rxn_853                 23.048              30.568              -7.520
rxn_1000                33.031              35.378              -2.347
rxn_1011                33.409              33.757              -0.347
rxn_1017                27.614              34.044              -6.430
rxn_1093                24.389              33.381              -8.992
rxn_1248                24.797              31.772              -6.975
rxn_1424                23.408              33.337              -9.929
rxn_1441                28.375              36.216              -7.841
rxn_1463                 9.619              57.205             -47.587
rxn_1466                 6.367              56.815             -50.447
rxn_1469                 8.320              59.406             -51.087
rxn_1479                18.599              62.549             -43.949
rxn_1480                11.258              55.381             -44.123
rxn_1495                 8.836              60.213             -51.378
rxn_1536                12.268              46.856             -34.587
rxn_1606                15.220              50.693             -35.473
rxn_1708                15.170              49.145             -33.975
rxn_1779                13.684              47.077             -33.392
rxn_1886                19.425              54.219             -34.795
rxn_2260                10.602              57.182             -46.580
rxn_2270                10.008              53.313             -43.305
rxn_2310                16.787              55.133             -38.346
rxn_2326                21.061              55.951             -34.890
rxn_2334                12.887              55.808             -42.921
rxn_2468                21.139              54.011             -32.871
rxn_2482                12.314              54.714             -42.400
rxn_2517                18.897              54.533             -35.636
rxn_2530                13.752              55.929             -42.177
rxn_2672                10.983              55.726             -44.743
rxn_2720                 7.474              54.069             -46.595
rxn_2759                11.686              55.816             -44.130
rxn_2760                 8.861              54.990             -46.129
rxn_2972                25.222              46.928             -21.706
rxn_3030                11.333              45.543             -34.211
rxn_3225                13.142              46.697             -33.555
rxn_3483                20.194              42.473             -22.279
rxn_3536                19.686              43.365             -23.679
rxn_3759                -8.736              25.778             -34.515
rxn_3781                -4.533              29.523             -34.057
rxn_4123                 3.652              37.405             -33.753
rxn_4581                22.209              45.622             -23.413
rxn_4652                -5.229              38.789             -44.018
rxn_4937                 6.186              32.213             -26.026
rxn_5047                 1.798              41.561             -39.763
rxn_5129                -1.008              38.334             -39.342
rxn_5245                35.565              37.158              -1.593
rxn_5345                36.497              40.877              -4.380
rxn_5374                35.021              39.132              -4.112
rxn_5506                34.295              38.617              -4.322
rxn_5581                31.798              47.771             -15.973
rxn_5582                25.265              35.832             -10.567
rxn_5616                29.162              39.993             -10.831
rxn_5653                30.420              42.718             -12.299
rxn_5748                26.107              50.982             -24.875
rxn_5756                31.818              49.554             -17.736
rxn_5854                30.059              43.813             -13.754
rxn_5956                39.839              60.495             -20.657
rxn_6105                37.222              47.998             -10.776
rxn_6178                39.100              58.716             -19.616
rxn_6180                26.676              37.967             -11.290
