,Name,mPW1LYP-DFT-forward,mPW1LYP-DFT-reverse,mPW1LYP-DFT-reaction
0,rxn_33,27.949,46.07,-18.121
1,rxn_53,35.971,50.406,-14.435
2,rxn_83,24.61,40.062,-15.452
3,rxn_216,28.417,41.51,-13.093
4,rxn_310,25.965,45.285,-19.32
5,rxn_365,39.384,53.733,-14.349
6,rxn_632,29.463,48.089,-18.626
7,rxn_721,27.873,50.065,-22.192
8,rxn_745,33.836,21.944,11.891
9,rxn_769,37.593,22.806,14.787
10,rxn_853,36.01,24.861,11.149
11,rxn_1000,46.414,28.697,17.718
12,rxn_1011,49.278,27.31,21.968
13,rxn_1017,42.444,27.71,14.734
14,rxn_1093,39.285,26.27,13.015
15,rxn_1248,39.472,25.264,14.208
16,rxn_1424,37.859,26.315,11.544
17,rxn_1441,40.871,29.269,11.602
18,rxn_1463,24.769,50.416,-25.647
19,rxn_1466,21.17,49.361,-28.19
20,rxn_1469,23.04,50.299,-27.26
21,rxn_1479,33.945,50.998,-17.053
22,rxn_1480,28.911,46.949,-18.038
23,rxn_1495,24.431,50.751,-26.32
24,rxn_1536,23.312,38.072,-14.761
25,rxn_1606,26.091,42.243,-16.151
26,rxn_1708,26.29,39.831,-13.541
27,rxn_1779,24.939,38.153,-13.214
28,rxn_1886,31.029,45.062,-14.033
29,rxn_2260,24.467,48.199,-23.731
30,rxn_2270,25.418,46.135,-20.716
31,rxn_2310,27.985,44.153,-16.168
32,rxn_2326,34.748,47.259,-12.511
33,rxn_2334,26.31,47.797,-21.486
34,rxn_2468,34.522,45.021,-10.499
35,rxn_2482,25.69,46.74,-21.051
36,rxn_2517,32.158,45.386,-13.228
37,rxn_2530,27.677,47.404,-19.728
38,rxn_2672,25.032,48.045,-23.013
39,rxn_2720,22.202,46.822,-24.619
40,rxn_2759,27.654,47.942,-20.288
41,rxn_2760,22.975,47.582,-24.606
42,rxn_2972,36.9,40.099,-3.199
43,rxn_3030,22.689,38.894,-16.205
44,rxn_3225,23.671,41.538,-17.867
45,rxn_3483,33.188,37.232,-4.044
46,rxn_3536,29.626,36.105,-6.479
47,rxn_3759,-2.709,21.561,-24.27
48,rxn_3781,0.715,24.356,-23.642
49,rxn_4123,8.079,32.485,-24.407
50,rxn_4581,35.933,34.672,1.261
51,rxn_4652,6.071,29.854,-23.783
52,rxn_4937,20.529,23.117,-2.588
53,rxn_5047,12.086,32.756,-20.669
54,rxn_5129,11.157,29.095,-17.938
55,rxn_5245,33.15,36.107,-2.957
56,rxn_5345,34.485,39.601,-5.116
57,rxn_5374,32.607,38.811,-6.204
58,rxn_5506,32.329,37.081,-4.752
59,rxn_5581,31.591,43.621,-12.03
60,rxn_5582,22.534,27.554,-5.021
61,rxn_5616,27.714,31.697,-3.984
62,rxn_5653,28.854,36.383,-7.529
63,rxn_5748,24.427,44.977,-20.55
64,rxn_5756,30.171,44.175,-14.004
65,rxn_5854,29.034,37.851,-8.818
66,rxn_5956,36.397,54.045,-17.648
67,rxn_6105,36.756,41.457,-4.701
68,rxn_6178,36.189,52.152,-15.963
69,rxn_6180,27.18,32.015,-4.834
