R_ID             FORWARD             REVERSE            REACTION
rxn_33                   7.031              53.585             -46.555
rxn_53                  15.547              57.131             -41.583
rxn_83                   5.513              47.316             -41.803
rxn_216                  7.622              44.552             -36.930
rxn_310                  8.373              53.563             -45.191
rxn_365                 23.999              62.223             -38.224
rxn_632                  7.333              53.336             -46.003
rxn_721                 15.509              57.357             -41.848
rxn_745                 18.704              28.885             -10.181
rxn_769                 21.104              31.857             -10.753
rxn_853                 20.560              31.316             -10.755
rxn_1000                27.598              36.732              -9.134
rxn_1011                27.158              34.320              -7.161
rxn_1017                21.921              35.055             -13.134
rxn_1093                19.444              34.653             -15.210
rxn_1248                20.081              32.614             -12.533
rxn_1424                19.242              34.658             -15.417
rxn_1441                23.997              37.578             -13.580
rxn_1463                 6.297              56.997             -50.701
rxn_1466                 3.713              55.723             -52.010
rxn_1469                 4.764              58.384             -53.621
rxn_1479                12.585              61.830             -49.245
rxn_1480                 7.185              54.780             -47.596
rxn_1495                 3.787              58.993             -55.206
rxn_1536                11.353              45.997             -34.644
rxn_1606                13.243              49.174             -35.931
rxn_1708                13.573              48.308             -34.735
rxn_1779                12.458              46.396             -33.938
rxn_1886                17.752              53.621             -35.869
rxn_2260                 5.146              57.141             -51.995
rxn_2270                 4.953              53.137             -48.184
rxn_2310                12.547              55.996             -43.449
rxn_2326                16.127              55.764             -39.636
rxn_2334                 8.960              55.480             -46.519
rxn_2468                16.921              53.997             -37.077
rxn_2482                 8.639              54.341             -45.702
rxn_2517                13.301              54.435             -41.134
rxn_2530                 9.308              56.007             -46.699
rxn_2672                 6.550              55.372             -48.822
rxn_2720                 2.206              53.296             -51.090
rxn_2759                 5.518              55.515             -49.997
rxn_2760                 4.129              54.206             -50.076
rxn_2972                20.007              47.194             -27.187
rxn_3030                 7.205              46.708             -39.503
rxn_3225                 8.755              47.415             -38.661
rxn_3483                15.077              43.114             -28.037
rxn_3536                15.210              44.419             -29.209
rxn_3759               -10.574              28.540             -39.114
rxn_3781                -5.850              31.736             -37.586
rxn_4123                 2.243              40.661             -38.418
rxn_4581                16.321              46.949             -30.629
rxn_4652                -9.361              40.676             -50.037
rxn_4937                 0.922              33.705             -32.783
rxn_5047                -1.728              43.660             -45.388
rxn_5129                -5.991              39.673             -45.664
rxn_5245                35.605              36.409              -0.804
rxn_5345                36.913              40.971              -4.058
rxn_5374                35.402              38.262              -2.860
rxn_5506                34.348              37.984              -3.636
rxn_5581                31.602              46.495             -14.892
rxn_5582                27.646              37.519              -9.873
rxn_5616                29.148              40.758             -11.610
rxn_5653                30.845              42.534             -11.689
rxn_5748                26.951              50.297             -23.346
rxn_5756                31.413              49.111             -17.698
rxn_5854                30.366              43.547             -13.182
rxn_5956                40.850              60.461             -19.611
rxn_6105                36.475              47.767             -11.291
rxn_6178                39.436              57.568             -18.133
rxn_6180                27.239              38.965             -11.727
