R_ID            FORWARD             REVERSE            REACTION
rxn_33                  10.561              54.268             -43.707
rxn_53                  19.423              58.324             -38.901
rxn_83                   8.017              48.227             -40.210
rxn_216                 10.152              45.688             -35.536
rxn_310                 10.312              54.554             -44.243
rxn_365                 25.908              62.883             -36.975
rxn_632                 11.478              55.756             -44.278
rxn_721                 16.987              58.262             -41.275
rxn_745                 20.169              29.552              -9.383
rxn_769                 22.685              32.247              -9.562
rxn_853                 21.790              31.918             -10.129
rxn_1000                30.675              36.690              -6.015
rxn_1011                29.211              34.460              -5.249
rxn_1017                23.943              35.256             -11.314
rxn_1093                21.320              34.714             -13.394
rxn_1248                21.921              32.874             -10.953
rxn_1424                21.028              34.869             -13.841
rxn_1441                25.781              37.623             -11.842
rxn_1463                 7.268              57.747             -50.480
rxn_1466                 4.351              56.367             -52.016
rxn_1469                 5.604              58.938             -53.335
rxn_1479                15.188              63.517             -48.329
rxn_1480                 7.426              55.142             -47.716
rxn_1495                 4.950              59.565             -54.615
rxn_1536                12.614              46.643             -34.029
rxn_1606                14.764              49.947             -35.183
rxn_1708                14.925              48.992             -34.067
rxn_1779                13.561              46.993             -33.432
rxn_1886                18.880              52.980             -34.099
rxn_2260                 7.338              56.781             -49.443
rxn_2270                 7.197              52.831             -45.634
rxn_2310                14.670              55.423             -40.752
rxn_2326                18.227              55.312             -37.085
rxn_2334                11.033              55.242             -44.209
rxn_2468                19.743              54.376             -34.632
rxn_2482                10.557              54.293             -43.736
rxn_2517                15.842              54.141             -38.299
rxn_2530                11.338              55.447             -44.109
rxn_2672                 9.712              55.141             -45.429
rxn_2720                 5.640              53.011             -47.371
rxn_2759                 7.830              55.032             -47.202
rxn_2760                 6.074              53.915             -47.841
rxn_2972                21.836              46.753             -24.917
rxn_3030                 8.899              46.175             -37.276
rxn_3225                10.366              46.950             -36.585
rxn_3483                16.966              42.800             -25.834
rxn_3536                16.600              44.287             -27.686
rxn_3759                -9.320              27.227             -36.547
rxn_3781                -5.121              30.082             -35.203
rxn_4123                 3.202              38.826             -35.625
rxn_4581                19.295              47.872             -28.577
rxn_4652                -6.692              40.425             -47.117
rxn_4937                 2.404              33.862             -31.458
rxn_5047                -0.519              43.368             -43.887
rxn_5129                -4.133              39.703             -43.835
rxn_5245                36.204              37.540              -1.336
rxn_5345                36.637              41.142              -4.505
rxn_5374                35.676              39.206              -3.530
rxn_5506                34.512              38.951              -4.439
rxn_5581                31.528              47.394             -15.866
rxn_5582                26.549              37.396             -10.847
rxn_5616                28.772              40.746             -11.974
rxn_5653                30.464              42.981             -12.517
rxn_5748                26.625              51.034             -24.409
rxn_5756                31.867              50.313             -18.445
rxn_5854                30.148              44.097             -13.949
rxn_5956                40.205              60.832             -20.627
rxn_6105                36.575              48.378             -11.803
rxn_6178                39.089              57.974             -18.885
rxn_6180                26.530              39.053             -12.523
