R_ID	FORWARD	REVERSE	REACTION
rxn_02001	8.1	43.77	-35.66
rxn_02002	8.85	43.49	-34.63
rxn_02003	11.45	47.83	-36.38
rxn_02004	10.15	47.06	-36.92
rxn_02005	26.57	93.72	-67.15
rxn_02006	26.77	62.05	-35.27
rxn_02007	19.07	39.4	-20.32
rxn_02008	12.2	36.77	-24.57
rxn_02009	17.83	47.85	-30.02
rxn_02010	19.75	50.92	-31.17
rxn_02011	23.08	45.7	-22.62
rxn_02012	24.51	44.87	-20.36
rxn_02013	24.9	60.92	-36.03
rxn_02014	21.97	60.48	-38.51
rxn_02015	25.29	60.68	-35.39
rxn_02016	23.43	53.32	-29.89
rxn_02017	15.27	59.46	-44.18
rxn_02018	19.86	70.4	-50.54
rxn_02019	22.04	59.33	-37.29
rxn_02020	19.1	56.89	-37.79
rxn_02021	12.4	62.14	-49.74
rxn_02022	8.83	68.85	-60.01
rxn_02023	24.81	57.02	-32.21
rxn_02024	26.62	73.95	-47.33
rxn_02025	23.55	54.52	-30.97
rxn_02026	27.83	47.79	-19.96
rxn_02027	29.6	50.22	-20.62
rxn_02028	21.69	38.32	-16.63
rxn_02029	1.65	35.57	-33.92
rxn_02030	7.98	55.02	-47.04
rxn_02031	15.12	36.68	-21.56
rxn_02032	6.61	54.79	-48.18
rxn_02033	11.62	53.25	-41.63
rxn_02034	18.28	30.48	-12.21
rxn_02035	16.53	29.81	-13.28
rxn_02036	15.49	33.65	-18.16
rxn_02037	17.0	34.43	-17.43
rxn_02038	22.73	36.09	-13.36
rxn_02039	37.42	39.32	-1.9
rxn_02040	14.26	27.77	-13.51
rxn_02041	28.06	31.78	-3.72
rxn_02042	8.58	47.74	-39.15
rxn_02043	16.35	48.76	-32.41
rxn_02044	16.64	53.18	-36.54
rxn_02045	16.98	59.46	-42.48
rxn_02046	26.48	51.36	-24.88
rxn_02047	-1.34	88.51	-89.85
rxn_02048	1.98	86.44	-84.47
rxn_02049	13.95	47.2	-33.24
rxn_02050	18.44	35.48	-17.04
rxn_02051	-1.95	24.26	-26.21
rxn_02052	12.39	36.11	-23.72
rxn_02053	10.45	35.89	-25.44
rxn_02054	-0.12	26.38	-26.5
rxn_02055	12.65	52.78	-40.12
rxn_02056	11.6	91.82	-80.21
rxn_02057	8.1	84.96	-76.87
rxn_02058	15.43	68.29	-52.86
rxn_02059	15.3	67.99	-52.69
rxn_02060	5.93	86.94	-81.0
rxn_02061	0.41	56.6	-56.19
rxn_02062	3.87	58.42	-54.55
rxn_02063	16.87	41.5	-24.63
rxn_02064	5.38	50.91	-45.54
rxn_02065	8.08	56.87	-48.79
